model,N,num_seeds,selected_energy,selected_energy_ci_low,selected_energy_ci_high,selected_score,selected_score_ci_low,selected_score_ci_high,selected_real_utility,selected_real_utility_ci_low,selected_real_utility_ci_high,success_rate,success_rate_ci_low,success_rate_ci_high,exact_law_abs_error,exact_law_abs_error_ci_low,exact_law_abs_error_ci_high,low_energy_tail_real_utility,low_energy_tail_real_utility_ci_low,low_energy_tail_real_utility_ci_high,low_energy_tail_invalid_rate,low_energy_tail_invalid_rate_ci_low,low_energy_tail_invalid_rate_ci_high,tail_rank_correlation,tail_rank_correlation_ci_low,tail_rank_correlation_ci_high,energy_utility_rank_correlation,energy_utility_rank_correlation_ci_low,energy_utility_rank_correlation_ci_high,invalid_action_rate,invalid_action_rate_ci_low,invalid_action_rate_ci_high,jerk_smoothness_penalty,jerk_smoothness_penalty_ci_low,jerk_smoothness_penalty_ci_high,contact_feasibility_penalty,contact_feasibility_penalty_ci_low,contact_feasibility_penalty_ci_high,oracle_minus_energy_gap,oracle_minus_energy_gap_ci_low,oracle_minus_energy_gap_ci_high,high_n_regret,high_n_regret_ci_low,high_n_regret_ci_high,marginal_utility_per_added_candidate,marginal_utility_per_added_candidate_ci_low,marginal_utility_per_added_candidate_ci_high,compute_latency_proxy,compute_latency_proxy_ci_low,compute_latency_proxy_ci_high,energy_evaluations,energy_evaluations_ci_low,energy_evaluations_ci_high,deployment_gate
calibrated_torch,1,3,-0.3630885898280358,-0.3769297986946036,-0.34924738096146807,0.3630885898280358,0.34924738096146807,0.3769297986946036,0.3604239718677806,0.35415167118188584,0.3666962725536753,0.40516493055555586,0.399086035673005,0.4112438254381067,0.017388777693724895,-0.006525682902400208,0.04130323828985,0.36042397186777975,0.354151671181885,0.3666962725536745,0.22439236111111113,0.22290364583333336,0.2258810763888889,0.9743973146899346,0.9715334648838121,0.9772611644960572,0.9743973146899346,0.9715334648838121,0.9772611644960572,0.22439236111111083,0.22290364583333244,0.2258810763888892,0.19320847340390582,0.18484407269278152,0.2015728741150301,0.1864646502275135,0.1842115671463186,0.1887177333087084,-1.850371707708594e-17,-1.14457935160972e-16,7.74505010068001e-17,-1.850371707708594e-17,-1.14457935160972e-16,7.74505010068001e-17,8.511709855459534e-16,3.0958491945540356e-16,1.3927570516365033e-15,1.0,1.0,1.0,1.0,1.0,1.0,stop_early
calibrated_torch,2,3,-0.8866740018821954,-0.8995447490596846,-0.8738032547047061,0.8866740018821954,0.8738032547047061,0.8995447490596846,0.9080746251882098,0.9011620748984114,0.9149871754780082,0.6366976985224978,0.6286375157895111,0.6447578812554845,0.01354036307642148,0.0032282318485549934,0.023852494304287965,1.156844560947977,1.1473332386179238,1.16635588327803,0.010199652777777776,0.006142098882861948,0.014257206672693604,0.8486365674562387,0.8288016979022753,0.8684714370102021,0.9743973146899346,0.9715334648838121,0.9772611644960572,0.05805192170319692,0.05653390213223257,0.059569941274161264,0.16064766516781995,0.1504239197433899,0.17087141059225,0.0409148572456105,0.040328084797182605,0.0415016296940384,0.010294082527179818,0.009211013184405634,0.011377151869954003,0.010294082527179818,0.009211013184405634,0.011377151869954003,0.5476506533204293,0.5435786700903441,0.5517226365505145,2.0,2.0,2.0,2.0,2.0,2.0,stop_early
calibrated_torch,4,3,-1.1599188908550613,-1.1696028406825172,-1.1502349410276054,1.1599188908550613,1.1502349410276054,1.1696028406825172,1.239086339795145,1.233046228855534,1.2451264507347561,0.8525134946600552,0.8443688812256677,0.8606581080944428,0.0076918734508364395,0.003865157076500547,0.011518589825172332,1.3852669402996434,1.3804032927893801,1.3901305878099066,0.005642361111111111,0.00046778881971158356,0.010816933402510638,0.7124343870957898,0.6670876438179726,0.757781130373607,0.9743973146899346,0.9715334648838121,0.9772611644960572,0.010579426703935213,0.007084318169806399,0.014074535238064028,0.10564039222045501,0.0963086721578438,0.11497211228306622,0.004178562444670288,0.003813292663708747,0.004543832225631829,0.024784567932227313,0.021497707272071304,0.028071428592383322,0.024784567932227313,0.021497707272071304,0.028071428592383322,0.16550585730346767,0.16472918435409675,0.1662825302528386,4.0,4.0,4.0,4.0,4.0,4.0,stop_early
calibrated_torch,8,3,-1.2833704819697438,-1.2879668209924269,-1.2787741429470607,1.2833704819697438,1.2787741429470607,1.2879668209924269,1.4147368385825574,1.4121844185955432,1.4172892585695716,0.9652936196759945,0.9590620385765801,0.9715252007754088,0.009614336794242506,0.008314484505954284,0.010914189082530728,1.5014836380087886,1.49660182594621,1.5063654500713672,0.004340277777777777,-0.00016117410563072816,0.008841729661186282,0.6415919263504121,0.5591442282281702,0.7240396244726539,0.9743973146899346,0.9715334648838121,0.9772611644960572,0.00538197673177013,0.0012593326821201782,0.009504620781420082,0.06759753735736025,0.060769540433346356,0.07442553428137415,0.0017740302221825998,0.0011584470171900761,0.0023896134271751235,0.03741039027112395,0.03151686407869107,0.04330391646355683,0.03741039027112395,0.03151686407869107,0.04330391646355683,0.04391262469685301,0.04299678895175822,0.0448284604419478,8.0,8.0,8.0,8.0,8.0,8.0,stop_early
calibrated_torch,16,3,-1.3578253163085547,-1.362024347279731,-1.3536262853373784,1.3578253163085547,1.3536262853373784,1.362024347279731,1.5158269222005227,1.5118617978526359,1.5197920465484096,0.9932556718515936,0.9891631558337202,0.997348187869467,0.006829081885567412,0.005281073596176222,0.008377090174958602,1.5668003538881556,1.5582323823377058,1.5753683254386055,0.003472222222222222,6.944444444444402e-05,0.006875,0.5804487788116358,0.5361273485825312,0.6247702090407404,0.9743973146899346,0.9715334648838121,0.9772611644960572,0.0038159523203364653,0.0002466226909235169,0.007385281949749413,0.04290010452860654,0.03818948558829354,0.04761072346891954,0.001495612281088252,0.0007747220884417029,0.002216502473734801,0.04068022549088416,0.03259121040650236,0.04876924057526596,0.04068022549088416,0.03259121040650236,0.04876924057526596,0.012636260452245687,0.012080997026962737,0.013191523877528637,16.0,16.0,16.0,16.0,16.0,16.0,stop_early
calibrated_torch,32,3,-1.4103146800779065,-1.4164322865195025,-1.4041970736363105,1.4103146800779065,1.4041970736363105,1.4164322865195025,1.5769310921319721,1.5690219010120465,1.5848402832518977,0.9972663677010711,0.994330569900113,1.0002021655020292,0.002732588600498002,0.001566277934563726,0.0038988992664322777,1.611456659520469,1.6010339649429022,1.6218793540980356,0.003472222222222222,-0.003333333333333334,0.010277777777777778,0.5499321758003256,0.48380547770192867,0.6160588738987226,0.9743973146899346,0.9715334648838121,0.9772611644960572,0.0026516330209770465,-0.0002548780334730898,0.005558144075427183,0.028317348489122943,0.024476827802335354,0.03215786917591053,0.0012456422200518428,0.0005267350062523985,0.001964549433851287,0.037118823812448465,0.02753979200034267,0.04669785562455426,0.037118823812448465,0.02753979200034267,0.04669785562455426,0.0038190106207155786,0.003571905691373326,0.004066115550057831,32.0,32.0,32.0,32.0,32.0,32.0,stop_early
calibrated_torch,64,3,-1.4493001842605253,-1.4562537377503586,-1.442346630770692,1.4493001842605253,1.442346630770692,1.4562537377503586,1.6155490306069111,1.6058371350901193,1.625260926123703,0.998576307464623,0.996439346610441,1.000713268318805,0.0017569886009742113,-4.012872739161933e-05,0.0035541059293400417,1.630319962595485,1.6179191169004703,1.6427208082904996,0.0,0.0,0.0,0.4137667887667888,0.32261213559939295,0.5049214419341846,0.9743973146899346,0.9715334648838121,0.9772611644960572,0.0014235563227597602,-0.0007133697212291,0.0035604823667486204,0.020527378255689985,0.016178805696462652,0.02487595081491732,0.0009722982046338715,0.00041497936242565795,0.001529617046842085,0.03151923710467278,0.022241308622682684,0.04079716558666288,0.03151923710467278,0.022241308622682684,0.04079716558666288,0.0012068105773418505,0.0011422883137258263,0.0012713328409578748,64.0,64.0,64.0,64.0,64.0,64.0,stop_early
calibrated_torch,128,3,-1.4788311269381798,-1.4860641499200962,-1.4715981039562633,1.4788311269381798,1.4715981039562633,1.4860641499200962,1.640448681271151,1.6304166263251467,1.6504807362171552,0.9996168875931905,0.9989049990823446,1.0003287761040363,0.001461724358857423,0.00046074660974448813,0.0024627021079703577,1.630319962595485,1.6179191169004703,1.6427208082904996,0.0,0.0,0.0,0.4137667887667888,0.32261213559939295,0.5049214419341846,0.9743973146899346,0.9715334648838121,0.9772611644960572,0.00038311240610791223,-0.00032877610487642804,0.0010950009170922525,0.01617393353361614,0.010807221401074221,0.021540645666158056,0.0007393552835356382,0.0003453809138466287,0.0011333296532246477,0.026544962316445098,0.017962411692929947,0.03512751293996025,0.026544962316445098,0.017962411692929947,0.03512751293996025,0.00038905704162874727,0.00038150005624884917,0.00039661402700864537,128.0,128.0,128.0,128.0,128.0,128.0,stop_early
oracle,1,3,-0.3604239718677806,-0.3666962725536754,-0.3541516711818858,0.3604239718677806,0.3541516711818858,0.3666962725536754,0.3604239718677806,0.3541516711818858,0.3666962725536754,0.4051649305555556,0.39908603567300455,0.4112438254381066,0.01738877769372495,-0.0065256829024001005,0.04130323828985,0.36042397186777975,0.354151671181885,0.3666962725536745,0.22439236111111113,0.22290364583333336,0.2258810763888889,1.0,1.0,1.0,1.0,1.0,1.0,0.2243923611111112,0.22290364583333339,0.225881076388889,0.19320847340390557,0.18484407269278033,0.2015728741150308,0.18646465022751343,0.18421156714631842,0.18871773330870845,0.0,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-16,3.340745257033624e-16,1.3312600112343723e-15,1.0,1.0,1.0,1.0,1.0,1.0,stop_early
oracle,2,3,-0.9183687077153898,-0.925815922542345,-0.9109214928884346,0.9183687077153898,0.9109214928884346,0.925815922542345,0.9183687077153898,0.9109214928884346,0.925815922542345,0.644815727516457,0.6373655674074268,0.6522658876254872,0.01363009394619974,0.0030111073086397967,0.024249080583759682,1.1702004132218162,1.1605462055181799,1.1798546209254526,0.010416666666666666,0.00846748082419413,0.012365852509139201,1.0,1.0,1.0,1.0,1.0,1.0,0.05704830310962827,0.05652121709705083,0.057575389122205715,0.16960675093020638,0.16190140927106383,0.17731209258934894,0.03980125266385296,0.039138822015632325,0.040463683312073596,0.0,0.0,0.0,0.0,0.0,0.0,0.5579447358476091,0.5544318415974566,0.5614576300977615,2.0,2.0,2.0,2.0,2.0,2.0,stop_early
