N,compute_latency_proxy,conservative_high_N_gate,contact_failure_rate,contact_feasibility_penalty,deployment_gate,energy_evaluations,energy_utility_rank_correlation,exact_expected_utility,exact_law_abs_error,gate_selected_N,high_n_regret,invalid_action_rate,jerk_smoothness_penalty,learned_model,low_energy_tail_contact_failure_rate,low_energy_tail_invalid_rate,low_energy_tail_real_utility,low_energy_tail_support_distance,marginal_utility_per_added_candidate,mc_ci_high,mc_ci_low,mc_mean_utility,model,oracle_minus_energy_gap,recovery_ge_95,repair_recovery_ratio,repair_recovery_ratio_reported,requested_N,seed,selected_energy,selected_real_utility,selected_score,success_rate,support_distance,support_distance_reduced,tail_rank_correlation,tail_rank_improved,task,utility_not_degraded,is_repair_model,source_repair_model
1,1.0,0,0.18164307883194672,0.18164307883194672,stop_early,1,0.4364283477691429,0.37418024431331454,0.010723628868719803,1,-1.6653345369377348e-16,0.2226562500000003,0.18376668838616278,pytorch_mlp_ibc_ebm,0.1816430788319466,0.22265625,0.37418024431331437,0.45137778569216835,1.6653345369377348e-16,0.4801585231126836,0.24675470777650585,0.36345661544459473,raw_torch_ebm,-1.6653345369377348e-16,1,1.0,1.0,1,0,22.05418533681467,0.37418024431331454,-22.05418533681467,0.4101562499999999,0.45137778569216835,1,0.4364283477691429,1,multimodal,1,0,
2,2.0,0,0.20067216264335677,0.20067216264335677,stop_early,2,0.4364283477691429,0.5360736816549709,0.03840441048780541,2,0.3882667723344674,0.240438673231337,0.06549766859115777,pytorch_mlp_ibc_ebm,0.26787207478049374,0.3098958333333333,0.4332264144737687,0.4119926241789842,0.1618934373416564,0.6217240070606365,0.3736145352736946,0.49766927116716553,raw_torch_ebm,0.3882667723344674,0,0.0,0.0,2,0,9.965480062391263,0.5360736816549709,-9.965480062391263,0.560529073079427,0.387543888654575,1,0.7519768112637181,1,multimodal,1,0,
4,4.0,0,0.13399885363189892,0.13399885363189892,stop_early,4,0.4364283477691429,0.8470686464366617,0.022634656875359704,4,0.4152601649457681,0.16103060255121796,0.0362802300046145,pytorch_mlp_ibc_ebm,0.0027443033159328402,0.0078125,1.2722128136569435,0.17498714432239937,0.15549748239084538,0.9338845262061265,0.7149834529164775,0.824433989561302,raw_torch_ebm,0.4152601649457681,0,0.0,0.0,4,0,5.856657647649181,0.8470686464366617,-5.856657647649181,0.7308493284088188,0.2960720691414286,1,0.38395739378115357,1,multimodal,1,0,
8,8.0,0,0.03700227115529876,0.03700227115529876,stop_early,8,0.4364283477691429,1.2078767342688466,0.016448214329676247,8,0.23985432196532197,0.04697053095752596,0.027311283201438503,pytorch_mlp_ibc_ebm,0.0007729728632794797,0.0,1.359877489794912,0.15230442467595046,0.09020202195804622,1.2842389038535753,1.1644109933434703,1.2243249485985228,raw_torch_ebm,0.23985432196532197,0,0.0,0.0,8,0,3.578867867588259,1.2078767342688466,-3.578867867588259,0.8822665888281971,0.19352567555456923,1,0.42440929929739846,1,multimodal,1,0,
16,16.0,0,0.002950529515430048,0.002950529515430048,stop_early,16,0.4364283477691429,1.386464982313683,0.02432940971190578,16,0.16698224381291027,0.005166665803809119,0.020378661932532405,pytorch_mlp_ibc_ebm,0.0002157117354923751,0.0,1.4554564862222736,0.12385150347102897,0.022323531005604552,1.3996562259057692,1.3246149192977852,1.3621355726017772,raw_torch_ebm,0.16698224381291027,0,0.0,0.0,16,0,2.1167833260291915,1.386464982313683,-2.1167833260291915,0.9588833060641323,0.14318521909541365,1,0.42023874118285404,1,multimodal,1,0,
32,32.0,0,0.000383781720407458,0.000383781720407458,stop_early,32,0.4364283477691429,1.4689649293004776,0.003485435737434095,32,0.14458711013704884,0.0005553963462995163,0.01551508637091438,pytorch_mlp_ibc_ebm,0.00016521086852623474,0.0,1.49642984812603,0.1110444577654825,0.005156246686674665,1.4962413301693247,1.4486593999064987,1.4724503650379117,raw_torch_ebm,0.14458711013704884,0,0.0,0.0,32,0,1.2476358817769724,1.4689649293004776,-1.2476358817769724,0.9885929260355857,0.118638250652389,1,0.4065934065934066,1,multimodal,1,0,
64,64.0,0,0.0001539025835369181,0.0001539025835369181,stop_early,64,0.4364283477691429,1.5303748101430614,0.00695673073709191,64,0.11759905984978647,1.272995991379346e-05,0.01174556605282399,pytorch_mlp_ibc_ebm,0.00016521086852623474,0.0,1.49642984812603,0.1110444577654825,0.001919058776330744,1.5560004627227135,1.5186626190375931,1.5373315408801533,raw_torch_ebm,0.11759905984978647,0,0.0,0.0,64,0,0.7025285612435465,1.5303748101430614,-0.7025285612435465,0.9986445188091132,0.09868862366807327,1,0.4065934065934066,1,multimodal,1,0,
128,128.0,0,8.727831839745512e-05,8.727831839745512e-05,stop_early,128,0.4364283477691429,1.5736884713569899,0.0015985353545566738,128,0.09442518457192861,3.9936711950535545e-09,0.008363356767911423,pytorch_mlp_ibc_ebm,0.00016521086852623474,0.0,1.49642984812603,0.1110444577654825,0.0006767759564676318,1.586779907695307,1.5573999643095593,1.5720899360024332,raw_torch_ebm,0.09442518457192861,0,0.0,0.0,128,0,0.3292140137638532,1.5736884713569899,-0.3292140137638532,0.9999737743885622,0.08343131827636212,1,0.4065934065934066,1,multimodal,1,0,
256,256.0,0,4.280228044024091e-05,4.280228044024091e-05,stop_early,256,0.4364283477691429,1.605175680325248,0.005686248347221978,256,0.07448015602495994,2.539147060112481e-16,0.005686790139702464,pytorch_mlp_ibc_ebm,0.00016521086852623474,0.0,1.49642984812603,0.1110444577654825,0.0002459938200645162,1.6216536592058837,1.6000701981390562,1.61086192867247,raw_torch_ebm,0.07448015602495994,0,0.0,0.0,256,0,0.07155416236521375,1.605175680325248,-0.07155416236521375,0.9999999904044041,0.07128502645412307,1,0.4065934065934066,1,multimodal,1,0,
512,512.0,0,2.0068012212834983e-05,2.0068012212834983e-05,stop_early,512,0.4364283477691429,1.6316127427346465,0.002526989051637729,512,0.05498889435461041,6.446538747766362e-31,0.00389538975953882,pytorch_mlp_ibc_ebm,0.00016521086852623474,0.0,1.49642984812603,0.1110444577654825,0.00010326977503671321,1.6424802309924011,1.6257992325801673,1.6341397317862842,raw_torch_ebm,0.05498889435461041,0,0.0,0.0,512,0,-0.08530834695354297,1.6316127427346465,0.08530834695354297,0.9999999999999991,0.05969025332686031,1,0.4065934065934066,1,multimodal,1,0,
1,1.0,0,0.18164307883194697,0.18164307883194697,collect_pilot_labels,1,-0.0354935147469901,0.3741802443133133,0.010723628868718582,1,1.0547118733938987e-15,0.22265625,0.18376668838616278,pytorch_mlp_ibc_ebm,0.1816430788319466,0.22265625,0.37418024431331437,0.45137778569216835,-1.0547118733938987e-15,0.4801585231126836,0.24675470777650585,0.36345661544459473,raw_numpy_ebm,1.0547118733938987e-15,1,1.0,1.0,1,0,17.615222254472442,0.3741802443133133,-17.615222254472442,0.41015624999999967,0.4513777856921684,1,-0.0354935147469901,0,multimodal,1,0,
2,2.0,0,0.29979286083239415,0.29979286083239415,collect_pilot_labels,2,-0.0354935147469901,0.24426117317670848,0.020894899763559016,2,0.6800792808127298,0.3539267645941839,0.06068822560473734,pytorch_mlp_ibc_ebm,0.35190494654835613,0.4166666666666667,0.1789210836839953,0.49530002543294716,-0.12991907113660484,0.3976408723610534,0.13267127351948158,0.2651560729402675,raw_numpy_ebm,0.6800792808127298,0,-0.7515773413308829,0.0,2,0,5.242680034301881,0.24426117317670848,-5.242680034301881,0.45774586995442657,0.473663239620163,0,-0.3966545101242237,0,multimodal,0,0,
4,4.0,0,0.4468121503215018,0.4468121503215018,collect_pilot_labels,4,-0.0354935147469901,-0.08203656026405613,0.07054403083895516,4,1.3443653716464858,0.5156188320226969,0.022246082530123487,pytorch_mlp_ibc_ebm,0.5461594318172062,0.6223958333333334,-0.3320423533400626,0.6335539485362444,-0.1631488667203823,0.13410376180732217,-0.15708882065752414,-0.011492529425100973,raw_numpy_ebm,1.3443653716464858,0,-2.2374050899441715,0.0,4,0,1.1318066670145193,-0.08203656026405613,-1.1318066670145193,0.4009710435951722,0.5651805914759169,0,-0.3151082109796209,0,multimodal,0,0,
8,8.0,0,0.5854034215081054,0.5854034215081054,collect_pilot_labels,8,-0.0354935147469901,-0.44665531038527406,0.026695117308364325,8,1.8943863666194427,0.6624000979784357,0.009137555399095505,pytorch_mlp_ibc_ebm,0.6647978971139424,0.7395833333333334,-0.6651551648754378,0.7248104569841707,-0.09115468753030448,-0.3316718612741796,-0.6150289941130972,-0.4733504276936384,raw_numpy_ebm,1.8943863666194427,0,-6.89807059175415,0.0,8,0,-0.5726399534924382,-0.44665531038527406,0.5726399534924382,0.29051503996893807,0.6657874571175222,0,-0.12619530423459838,0,multimodal,0,0,
16,16.0,0,0.6842146625723583,0.6842146625723583,collect_pilot_labels,16,-0.0354935147469901,-0.7236922391325602,0.01589297723946459,16,2.2771394652591535,0.7653257315891075,0.004844687100824592,pytorch_mlp_ibc_ebm,0.7050758796370257,0.7916666666666666,-0.780941343244851,0.7586765006247499,-0.03462961609341077,-0.5782177931838159,-0.8373807306023753,-0.7077992618930956,raw_numpy_ebm,2.2771394652591535,0,-12.637015608740423,0.0,16,0,-1.3758315165942825,-0.7236922391325602,1.3758315165942825,0.198241004977323,0.7418335891012378,0,-0.19012479652740097,0,multimodal,0,0,
32,32.0,0,0.7499072057324896,0.7499072057324896,collect_pilot_labels,32,-0.0354935147469901,-0.9154167820367214,0.016577490030783237,32,2.5289688214742476,0.8355173329912919,0.0032908140122704585,pytorch_mlp_ibc_ebm,0.7516531199537532,0.828125,-0.9095334246162541,0.7922816308605045,-0.011982783931510074,-0.7873536638914245,-1.0103249201204518,-0.8988392920059382,raw_numpy_ebm,2.5289688214742476,0,-16.490970108449716,0.0,32,0,-1.8070903569530583,-0.9154167820367214,1.8070903569530583,0.13555052404175644,0.7954215813939833,0,-0.19125457875457874,0,multimodal,0,0,
64,64.0,0,0.809106586968202,0.809106586968202,collect_pilot_labels,64,-0.0354935147469901,-1.0928148168653578,0.03786175957957649,64,2.7407886868582056,0.9013532082219898,0.00244812913376123,pytorch_mlp_ibc_ebm,0.7516531199537532,0.828125,-0.9095334246162541,0.7922816308605045,-0.005543688588394886,-1.0428512241823429,-1.2185019287075256,-1.1306765764449342,raw_numpy_ebm,2.7407886868582056,0,-22.306212569718834,0.0,64,0,-2.0792359156680176,-1.0928148168653578,2.0792359156680176,0.08115465305692833,0.8454745039870273,0,-0.19125457875457874,0,multimodal,0,0,
128,128.0,0,0.8564963927984619,0.8564963927984619,collect_pilot_labels,128,-0.0354935147469901,-1.2373148432225292,0.031763160206686125,128,2.905428499151448,0.9600628640880269,0.001663631543377498,pytorch_mlp_ibc_ebm,0.7516531199537532,0.828125,-0.9095334246162541,0.7922816308605045,-0.0022578129118308032,-1.135814094447516,-1.2752892715841702,-1.205551683015843,raw_numpy_ebm,2.905428499151448,0,-29.76963537135827,0.0,128,0,-2.2609948041624244,-1.2373148432225292,2.2609948041624244,0.03422765358719124,0.8864582532281504,0,-0.19125457875457874,0,multimodal,0,0,
