model,N,num_seeds,selected_energy,selected_energy_ci_low,selected_energy_ci_high,selected_score,selected_score_ci_low,selected_score_ci_high,selected_real_utility,selected_real_utility_ci_low,selected_real_utility_ci_high,success_rate,success_rate_ci_low,success_rate_ci_high,exact_law_abs_error,exact_law_abs_error_ci_low,exact_law_abs_error_ci_high,low_energy_tail_real_utility,low_energy_tail_real_utility_ci_low,low_energy_tail_real_utility_ci_high,low_energy_tail_invalid_rate,low_energy_tail_invalid_rate_ci_low,low_energy_tail_invalid_rate_ci_high,tail_rank_correlation,tail_rank_correlation_ci_low,tail_rank_correlation_ci_high,energy_utility_rank_correlation,energy_utility_rank_correlation_ci_low,energy_utility_rank_correlation_ci_high,invalid_action_rate,invalid_action_rate_ci_low,invalid_action_rate_ci_high,jerk_smoothness_penalty,jerk_smoothness_penalty_ci_low,jerk_smoothness_penalty_ci_high,contact_feasibility_penalty,contact_feasibility_penalty_ci_low,contact_feasibility_penalty_ci_high,oracle_minus_energy_gap,oracle_minus_energy_gap_ci_low,oracle_minus_energy_gap_ci_high,high_n_regret,high_n_regret_ci_low,high_n_regret_ci_high,marginal_utility_per_added_candidate,marginal_utility_per_added_candidate_ci_low,marginal_utility_per_added_candidate_ci_high,compute_latency_proxy,compute_latency_proxy_ci_low,compute_latency_proxy_ci_high,energy_evaluations,energy_evaluations_ci_low,energy_evaluations_ci_high,deployment_gate
good,1,6,-0.5095294517947296,-0.6450227963916082,-0.3740361071978511,0.5095294517947296,0.3740361071978511,0.6450227963916082,0.5072775866136491,0.3716931749119502,0.642861998315348,0.5023600260416666,0.42536433247365024,0.579355719609683,0.02121971011375835,0.004775437649668351,0.03766398257784835,0.5072775866136494,0.37169317491195036,0.6428619983153485,0.2508951822916667,0.23711611089148174,0.2646742536918516,0.9931176700518685,0.9924936192145546,0.9937417208891823,0.9931176700518685,0.9924936192145546,0.9937417208891823,0.2508951822916667,0.23711611089148174,0.2646742536918516,0.2099433637566758,0.18517361207919664,0.23471311543415496,0.22959533967874488,0.1982654187798089,0.26092526057768084,-1.7578531223231644e-16,-3.904986691531701e-16,3.892804468853721e-17,-1.7578531223231644e-16,-3.904986691531701e-16,3.892804468853721e-17,-3.0531133177191805e-16,-6.338256806609259e-16,2.3203017117089837e-17,1.0,1.0,1.0,1.0,1.0,1.0,stop_early
good,2,6,-1.13409060461158,-1.319016791094628,-0.9491644181285318,1.13409060461158,0.9491644181285318,1.319016791094628,1.1270980733324378,0.9423875517905037,1.311808594874372,0.7426999012629191,0.6648387683969104,0.8205610341289278,0.032010643568075293,0.010649357085370657,0.053371930050779934,1.4194645729476694,1.2054546135087802,1.6334745323865585,0.006510416666666667,0.0007966560120590237,0.01222417732127431,0.9565611421303913,0.9494639850616207,0.963658299199162,0.9931176700518685,0.9924936192145546,0.9937417208891823,0.06849284966786702,0.06405219300811077,0.07293350632762327,0.18984755730501587,0.16731182233984107,0.21238329227019068,0.0546212597635917,0.044319296691437256,0.06492322283574616,0.0023932304265349793,0.002333974165020878,0.0024524866880490806,0.0023932304265349793,0.002333974165020878,0.0024524866880490806,0.6198204867187888,0.5696687119665309,0.6699722614710466,2.0,2.0,2.0,2.0,2.0,2.0,stop_early
good,4,6,-1.5031918342166268,-1.7040396331275989,-1.3023440353056548,1.5031918342166268,1.3023440353056548,1.7040396331275989,1.4883552245357148,1.2890340558286657,1.6876763932427639,0.9224256830697849,0.8796180992960204,0.9652332668435494,0.008879524097895016,0.002925023236216802,0.014834024959573231,1.636202145382848,1.4442063330136046,1.8281979577520913,0.006184895833333333,0.0007336434437427205,0.011636148222923946,0.851286589046818,0.8222189689927163,0.8803542091009197,0.9931176700518685,0.9924936192145546,0.9937417208891823,0.010596810646565777,0.006752601036356177,0.014441020256775376,0.14528231203272304,0.13296540519732317,0.15759921886812292,0.005451287742996615,0.0043480461413904535,0.006554529344602776,0.006091569803013508,0.005632024803332233,0.006551114802694782,0.006091569803013508,0.005632024803332233,0.006551114802694782,0.1806285756016385,0.17213628559584415,0.18912086560743285,4.0,4.0,4.0,4.0,4.0,4.0,stop_early
good,8,6,-1.6858061492596674,-1.8791734258773682,-1.4924388726419666,1.6858061492596674,1.4924388726419666,1.8791734258773682,1.6589304123204907,1.468751984475284,1.8491088401656972,0.9875118289233185,0.9773131523506856,0.9977105054959513,0.0038422543675222798,0.0011082565909392083,0.006576252144105351,1.7391841810654645,1.55777146100539,1.9205969011255388,0.00390625,-0.0009359876671328317,0.00874848766713283,0.697121647783627,0.6541954987652809,0.740047796801973,0.9931176700518685,0.9924936192145546,0.9937417208891823,0.004997932456375138,0.00048060913190174897,0.009515255780848528,0.11823282785941987,0.11031940605504904,0.12614624966379068,0.0012304351896651913,0.0007883848593087407,0.0016724855200216419,0.011715677960155083,0.010357314100423438,0.013074041819886728,0.011715677960155083,0.010357314100423438,0.013074041819886728,0.042643796946193975,0.040152222163354206,0.045135371729033744,8.0,8.0,8.0,8.0,8.0,8.0,stop_early
good,16,6,-1.7912910992922164,-1.9770966274829287,-1.6054855711015041,1.7912910992922164,1.6054855711015041,1.9770966274829287,1.7484904567225845,1.5663881519866076,1.9305927614585614,0.996557660995924,0.9927918517275179,1.00032347026433,0.0037864407310189327,0.0011489126148179823,0.006423968847219883,1.7948442052747744,1.6170315311786363,1.9726568793709125,0.0013020833333333333,-0.0012500000000000005,0.003854166666666667,0.5219892571568088,0.49281978868729687,0.5511587256263206,0.9931176700518685,0.9924936192145546,0.9937417208891823,0.0033017788134866734,-0.00038975426256089834,0.006993311889534245,0.09727555459205933,0.0881142899753142,0.10643681920880446,0.0007241945233187729,0.0002491939186486666,0.0011991951279888792,0.018398648927606454,0.015843141336562182,0.020954156518650725,0.018398648927606454,0.015843141336562182,0.020954156518650725,0.0111950055502617,0.010154395110556241,0.012235615989967159,16.0,16.0,16.0,16.0,16.0,16.0,stop_early
good,32,6,-1.8610185294513517,-2.042984886776228,-1.6790521721264755,1.8610185294513517,1.6790521721264755,2.042984886776228,1.7988263826520494,1.6192304316915047,1.9784223336125941,0.9981510744322651,0.9951713818528654,1.001130767011665,0.003984048249497237,0.0031392968465789924,0.004828799652415481,1.8256897072255036,1.645815058015239,2.005564356435768,0.0026041666666666665,-0.002500000000000001,0.007708333333333334,0.33006715506715506,0.2513907232089184,0.4087435869253917,0.9931176700518685,0.9924936192145546,0.9937417208891823,0.0018487738996956656,-0.0011309272134428147,0.004828475012834146,0.07976152817071801,0.06861471267538108,0.09090834366605494,0.0004881797206830786,0.00011143937832208949,0.0008649200630440677,0.025045626117365678,0.02140345675591203,0.028687795478819327,0.025045626117365678,0.02140345675591203,0.028687795478819327,0.00314599537059157,0.0029447586547470595,0.0033472320864360804,32.0,32.0,32.0,32.0,32.0,32.0,stop_early
good,64,6,-1.9107211444509253,-2.090679591529775,-1.7307626973720753,1.9107211444509253,1.7307626973720753,2.090679591529775,1.8271070495554582,1.6468034142270747,2.007410684883842,0.9989058385577184,0.9967961413108131,1.0010155358046238,0.0015866501654219951,0.0006329568905555409,0.0025403434402884494,1.8256897072255036,1.645815058015239,2.005564356435768,0.0026041666666666665,-0.002500000000000001,0.007708333333333334,0.33006715506715506,0.2513907232089184,0.4087435869253917,0.9931176700518685,0.9924936192145546,0.9937417208891823,0.001094161441110521,-0.0010155358062224776,0.0032038586884435196,0.06808453576517265,0.054176408792747176,0.08199266273759813,0.0003865591810418158,8.82143490391385e-05,0.0006849040130444931,0.0309037759918042,0.02614321592124033,0.03566433606236807,0.0309037759918042,0.02614321592124033,0.03566433606236807,0.0008837708407315228,0.0008160634935982685,0.0009514781878647771,64.0,64.0,64.0,64.0,64.0,64.0,stop_early
good,128,6,-1.948071726473508,-2.126830177287817,-1.7693132756591992,1.948071726473508,1.7693132756591992,2.126830177287817,1.8430548509751894,1.6608351422137562,2.0252745597366224,0.9995894830820365,0.9987849955761655,1.0003939705879075,0.0012062975457088898,0.00044802479242019217,0.0019645702989975877,1.8256897072255036,1.645815058015239,2.005564356435768,0.0026041666666666665,-0.002500000000000001,0.007708333333333334,0.33006715506715506,0.2513907232089184,0.4087435869253917,0.9931176700518685,0.9924936192145546,0.9937417208891823,0.00041051691796340184,-0.00039397058790756524,0.0012150044238343689,0.0613198408219347,0.042511295492795725,0.08012838615107368,0.000323499618210533,0.00010312790008541126,0.0005438713363356547,0.03562696085459416,0.029465287283749537,0.04178863442543878,0.03562696085459416,0.029465287283749537,0.04178863442543878,0.000249184397183302,0.0002043963806986075,0.00029397241366799643,128.0,128.0,128.0,128.0,128.0,128.0,stop_early
ood_low_energy,1,6,-2.001972052239093,-2.0715432513958425,-1.9324008530823433,2.001972052239093,1.9324008530823433,2.0715432513958425,0.5072775866136491,0.37169317491195014,0.6428619983153481,0.5023600260416666,0.42536433247365024,0.579355719609683,0.021219710113758256,0.0047754376496681634,0.03766398257784835,0.5072775866136494,0.37169317491195036,0.6428619983153485,0.2508951822916667,0.23711611089148174,0.2646742536918516,-0.32326396229264737,-0.4015706439542771,-0.24495728063101763,-0.32326396229264737,-0.4015706439542771,-0.24495728063101763,0.2508951822916667,0.23711611089148174,0.2646742536918516,0.20994336375667566,0.1851736120791966,0.2347131154341547,0.2295953396787449,0.19826541877980905,0.2609252605776808,-6.47630097698008e-17,-4.1385329462122415e-16,2.8432727508162253e-16,-6.47630097698008e-17,-4.1385329462122415e-16,2.8432727508162253e-16,-4.163336342344337e-16,-8.531248717138256e-16,2.0457603244958162e-17,1.0,1.0,1.0,1.0,1.0,1.0,collect_pilot_labels
ood_low_energy,2,6,-2.4302565654121433,-2.461912348154644,-2.3986007826696425,2.4302565654121433,2.3986007826696425,2.461912348154644,0.18425858176835808,0.11620281726508853,0.25231434627162763,0.4476240078608195,0.41632476628827825,0.4789232494333608,0.028503035776895183,0.02062341295486414,0.036382658598926226,0.10011228977030727,0.059325888953058084,0.14089869058755644,0.4777018229166667,0.45049152465874115,0.5049121211745922,-0.8096102858343466,-0.8243535283916633,-0.7948670432770298,-0.32326396229264737,-0.4015706439542771,-0.24495728063101763,0.42392154534657794,0.40257290513193583,0.44527018556122006,0.08443320638105849,0.07566081498787101,0.09320559777424596,0.40065690583380636,0.34933007168902414,0.4519837399785886,0.9452327219906147,0.823865200071512,1.0666002439097175,0.9452327219906147,0.823865200071512,1.0666002439097175,-0.3230190048452909,-0.3945319668389443,-0.25150604285163747,2.0,2.0,2.0,2.0,2.0,2.0,collect_pilot_labels
