seed,model,N,requested_N,gate_selected_N,conservative_high_N_gate,selected_energy,selected_score,selected_real_utility,success_rate,exact_expected_utility,mc_mean_utility,mc_ci_low,mc_ci_high,exact_law_abs_error,low_energy_tail_real_utility,low_energy_tail_invalid_rate,low_energy_tail_contact_failure_rate,low_energy_tail_support_distance,tail_rank_correlation,energy_utility_rank_correlation,invalid_action_rate,contact_failure_rate,support_distance,jerk_smoothness_penalty,contact_feasibility_penalty,oracle_minus_energy_gap,high_n_regret,marginal_utility_per_added_candidate,compute_latency_proxy,energy_evaluations,repair_recovery_ratio,repair_recovery_ratio_reported,recovery_ge_95,utility_not_degraded,tail_rank_improved,support_distance_reduced,deployment_gate,task
0,oracle,1,1,1,0,-0.7292854658015284,0.7292854658015284,0.7292854658015284,0.61328125,0.7292854658015284,0.8484470026262936,0.6356446143139254,1.0612493909386618,0.11916153682476516,0.7292854658015283,0.2392578125,0.23890871045211476,0.38349007576298877,1.0,1.0,0.2392578125,0.23890871045211481,0.3834900757629885,0.24425271443890326,0.23890871045211481,-1.1102230246251565e-16,-1.1102230246251565e-16,1.1102230246251565e-16,1.0,1,0.0,0.0,0,0,0,0,stop_early,contact_push
0,oracle,2,2,2,0,-1.3792193529755672,1.3792193529755672,1.3792193529755672,0.8503704071044922,1.3792193529755672,1.395295750882448,1.2398780601351564,1.5507134416297395,0.016076397906880757,1.6714675820754996,0.0,0.0034526871515415747,0.17008129748976067,1.0,1.0,0.05874156951904297,0.05464984774358377,0.24066917542643695,0.2182232783747607,0.05464984774358377,-2.220446049250313e-16,-2.220446049250313e-16,0.6499338871740388,2.0,2,0.0,0.0,0,0,0,0,stop_early,contact_push
0,oracle,4,4,4,0,-1.7288630650486887,1.7288630650486887,1.7288630650486887,0.9775568809400283,1.7288630650486887,1.7856967380572684,1.737888035956632,1.8335054401579047,0.056833673008579666,1.8586199954788252,0.0,0.0002497627500217892,0.11674929379128209,1.0,1.0,0.004047564364555001,0.005248367152580464,0.15335568851780218,0.16655201962319613,0.005248367152580464,2.220446049250313e-16,2.220446049250313e-16,0.17482185603656075,4.0,4,0.0,0.0,0,0,0,0,stop_early,contact_push
0,oracle,8,8,8,0,-1.8854072910051207,1.8854072910051207,1.8854072910051207,0.9994898162307998,1.8854072910051207,1.8983562850395819,1.8673177858756038,1.92939478420356,0.012948994034461148,1.9592154883293391,0.0,0.00013709938487522667,0.09063502598403048,1.0,1.0,4.725765112527953e-05,0.0006831613626943145,0.11102109944464952,0.13518040528168568,0.0006831613626943145,2.220446049250313e-16,2.220446049250313e-16,0.039136056489108006,8.0,8,0.0,0.0,0,0,0,0,stop_early,contact_push
0,oracle,16,16,16,0,-1.9742998666139888,1.9742998666139888,1.9742998666139888,0.9999997161380973,1.9742998666139888,1.972855363745868,1.953214948598741,1.992495778892995,0.0014445028681209227,2.023629927158057,0.0,0.00011755689250444688,0.07310848994952487,1.0,1.0,4.969229680782366e-08,0.00018827419523953287,0.08604349820934087,0.11245961152714853,0.00018827419523953287,2.220446049250313e-16,2.220446049250313e-16,0.011111571951108512,16.0,16,0.0,0.0,0,0,0,0,stop_early,contact_push
0,oracle,32,32,32,0,-2.031380621091037,2.031380621091037,2.031380621091037,0.9999999999998387,2.031380621091037,2.0402383096003724,2.0289613276758947,2.0515152915248502,0.00885768850933566,2.023629927158057,0.0,0.00011755689250444688,0.07310848994952487,1.0,1.0,1.0406827312076215e-13,0.0001242275363164107,0.06814450023343818,0.09237115928015803,0.0001242275363164107,0.0,0.0,0.003567547154815498,32.0,32,0.0,0.0,0,0,0,0,stop_early,contact_push
0,oracle,64,64,64,0,-2.068526454217031,2.068526454217031,2.068526454217031,1.0,2.068526454217031,2.070402740148002,2.062700054168488,2.0781054261275163,0.001876285930971111,2.023629927158057,0.0,0.00011755689250444688,0.07310848994952487,1.0,1.0,2.926614728464418e-25,0.0001172823444876303,0.052504438305834546,0.0773002990728119,0.0001172823444876303,4.440892098500626e-16,4.440892098500626e-16,0.001160807285187318,64.0,64,0.0,0.0,0,0,0,0,stop_early,contact_push
0,oracle,128,128,128,0,-2.09240791395605,2.09240791395605,2.09240791395605,1.0,2.09240791395605,2.0923491350141212,2.0870524268254114,2.097645843202831,5.8778941928849804e-05,2.023629927158057,0.0,0.00011755689250444688,0.07310848994952487,1.0,1.0,1.1703982998757396e-48,0.00011347246015590566,0.041009940814168186,0.06044611395198399,0.00011347246015590566,0.0,0.0,0.0003731478084221737,128.0,128,0.0,0.0,0,0,0,0,stop_early,contact_push
0,oracle,256,256,256,0,-2.1076800609647384,2.1076800609647384,2.1076800609647384,1.0,2.1076800609647384,2.1086506849629942,2.1055460785053755,2.111755291420613,0.0009706239982558706,2.023629927158057,0.0,0.00011755689250444688,0.07310848994952487,1.0,1.0,9.409532383093199e-96,0.00011019779362680963,0.036340157716646365,0.039044091383001446,0.00011019779362680963,0.0,0.0,0.00011931364850537723,256.0,256,0.0,0.0,0,0,0,0,stop_early,contact_push
0,oracle,512,512,512,0,-2.11721680331318,2.11721680331318,2.11721680331318,1.0,2.11721680331318,2.1167251353668224,2.114593804927236,2.1188564658064086,0.0004916679463575768,2.023629927158057,0.0,0.00011755689250444688,0.07310848994952487,1.0,1.0,3.1053797849656796e-190,0.00010243504702511899,0.035197374712387985,0.022688081796881483,0.00010243504702511899,0.0,0.0,3.7252899798599984e-05,512.0,512,0.0,0.0,0,0,0,0,stop_early,contact_push
