benchmark,bucket,bucket_size,contact_failure_rate,energy_quantile_high,energy_quantile_low,invalid_rate,is_extreme_low_energy_tail,mean_energy,mean_real_utility,model,seed,success_rate,support_distance,task,training_source
metaworld,0,3,0.0,0.05,0.0,0.0,True,4.0199118455251055,8.420767155152173,expert_ibc,0,1.0,0.045603122072431036,reach-v3,scripted_expert
metaworld,1,3,0.0,0.1,0.05,0.0,False,5.774763584136963,8.402557563000288,expert_ibc,0,1.0,0.042982053594455616,reach-v3,scripted_expert
metaworld,2,3,0.0,0.15,0.1,0.0,False,7.549796422322591,8.367771990760831,expert_ibc,0,1.0,0.04299296985259394,reach-v3,scripted_expert
metaworld,3,3,0.0,0.2,0.15,0.3333333333333333,False,9.631450017293295,8.32440389006697,expert_ibc,0,1.0,0.04433989273870275,reach-v3,scripted_expert
metaworld,4,3,0.0,0.25,0.2,0.0,False,14.11706288655599,8.434138232856544,expert_ibc,0,1.0,0.04290340509161989,reach-v3,scripted_expert
metaworld,5,3,0.0,0.3,0.25,0.3333333333333333,False,18.161033630371094,8.3128029310857,expert_ibc,0,1.0,0.04435605442202184,reach-v3,scripted_expert
metaworld,6,3,0.0,0.35,0.3,0.3333333333333333,False,24.99745241800944,8.34076476007355,expert_ibc,0,1.0,0.04561584599332592,reach-v3,scripted_expert
metaworld,7,3,0.0,0.4,0.35,0.3333333333333333,False,34.9947764078776,8.291171404871042,expert_ibc,0,1.0,0.044364179876455724,reach-v3,scripted_expert
metaworld,8,2,0.0,0.45,0.4,0.0,False,46.385459899902344,8.39107307064074,expert_ibc,0,1.0,0.04559097704849378,reach-v3,scripted_expert
metaworld,9,2,0.0,0.5,0.45,0.5,False,68.1390609741211,8.294009455721088,expert_ibc,0,1.0,0.04563156784708321,reach-v3,scripted_expert
metaworld,10,2,0.0,0.55,0.5,0.0,False,92.49299621582031,8.363899724575308,expert_ibc,0,1.0,0.041649846120640904,reach-v3,scripted_expert
metaworld,11,2,0.0,0.6,0.55,0.5,False,113.10011672973633,8.342948949258991,expert_ibc,0,1.0,0.04562918509812977,reach-v3,scripted_expert
metaworld,12,2,0.0,0.65,0.6,0.5,False,126.78745651245117,8.37647074603122,expert_ibc,0,1.0,0.04561888415162839,reach-v3,scripted_expert
metaworld,13,2,0.0,0.7,0.65,0.0,False,146.4407196044922,8.330524012415424,expert_ibc,0,1.0,0.043732099335653495,reach-v3,scripted_expert
metaworld,14,2,0.0,0.75,0.7,0.0,False,163.33653259277344,8.33928046339793,expert_ibc,0,1.0,0.045600750932053555,reach-v3,scripted_expert
metaworld,15,2,0.0,0.8,0.75,0.5,False,172.9092025756836,8.256309625340425,expert_ibc,0,1.0,0.04565041261042511,reach-v3,scripted_expert
metaworld,16,2,0.0,0.85,0.8,0.5,False,184.93213653564453,8.33581831063248,expert_ibc,0,1.0,0.04370886690143615,reach-v3,scripted_expert
metaworld,17,2,0.0,0.9,0.85,1.0,False,223.43429565429688,8.216425139642695,expert_ibc,0,1.0,0.04376907330143388,reach-v3,scripted_expert
metaworld,18,2,0.0,0.95,0.9,0.5,False,235.13616180419922,8.241301524556617,expert_ibc,0,1.0,0.04357348988103804,reach-v3,scripted_expert
metaworld,19,2,0.0,1.0,0.95,0.0,False,297.3482666015625,8.395761781369167,expert_ibc,0,1.0,0.043544639060151324,reach-v3,scripted_expert
metaworld,0,3,0.0,0.05,0.0,0.0,True,-5.957449595133464,8.430385917408316,high_reward_ablation,0,1.0,0.0417163528038269,reach-v3,high_reward_ablation
metaworld,1,3,0.0,0.1,0.05,0.0,False,-5.75119415918986,8.380194448543604,high_reward_ablation,0,1.0,0.041749536507209535,reach-v3,high_reward_ablation
metaworld,2,3,0.0,0.15,0.1,0.0,False,-5.519176165262858,8.391600822071238,high_reward_ablation,0,1.0,0.041615098848740255,reach-v3,high_reward_ablation
metaworld,3,3,0.0,0.2,0.15,0.0,False,-5.345849990844727,8.350800225507164,high_reward_ablation,0,1.0,0.04170820723851337,reach-v3,high_reward_ablation
metaworld,4,3,0.0,0.25,0.2,0.3333333333333333,False,-5.0185651779174805,8.334755469090732,high_reward_ablation,0,1.0,0.04160892331150212,reach-v3,high_reward_ablation
metaworld,5,3,0.0,0.3,0.25,0.3333333333333333,False,-0.2945327361424764,8.308272253766756,high_reward_ablation,0,1.0,0.04428548523031158,reach-v3,high_reward_ablation
metaworld,6,3,0.0,0.35,0.3,0.6666666666666666,False,2.156912644704183,8.260784718625603,high_reward_ablation,0,1.0,0.045666227208343735,reach-v3,high_reward_ablation
metaworld,7,3,0.0,0.4,0.35,0.3333333333333333,False,2.2180988788604736,8.260519281631423,high_reward_ablation,0,1.0,0.04566882556608587,reach-v3,high_reward_ablation
metaworld,8,2,0.0,0.45,0.4,0.5,False,2.2410095930099487,8.268140100602876,high_reward_ablation,0,1.0,0.04566833185442201,reach-v3,high_reward_ablation
metaworld,9,2,0.0,0.5,0.45,1.0,False,2.2703280448913574,8.276445480489024,high_reward_ablation,0,1.0,0.04566001098266537,reach-v3,high_reward_ablation
metaworld,10,2,0.0,0.55,0.5,1.0,False,2.3696993589401245,8.226207915482856,high_reward_ablation,0,1.0,0.04568206545709701,reach-v3,high_reward_ablation
metaworld,11,2,0.0,0.6,0.55,1.0,False,2.604663848876953,8.148791770660479,high_reward_ablation,0,1.0,0.045695370160710354,reach-v3,high_reward_ablation
metaworld,12,2,0.0,0.65,0.6,0.0,False,3.4836186170578003,8.302847615470402,high_reward_ablation,0,1.0,0.04561898559032783,reach-v3,high_reward_ablation
metaworld,13,2,0.0,0.7,0.65,0.0,False,3.585660934448242,8.43488264043593,high_reward_ablation,0,1.0,0.04558139083893136,reach-v3,high_reward_ablation
metaworld,14,2,0.0,0.75,0.7,0.0,False,3.652038812637329,8.47783902361867,high_reward_ablation,0,1.0,0.045574173725468514,reach-v3,high_reward_ablation
metaworld,15,2,0.0,0.8,0.75,0.0,False,3.668137788772583,8.460198017626748,high_reward_ablation,0,1.0,0.04558021079650777,reach-v3,high_reward_ablation
metaworld,16,2,0.0,0.85,0.8,0.0,False,3.784209370613098,8.39500910219748,high_reward_ablation,0,1.0,0.045581810157327575,reach-v3,high_reward_ablation
metaworld,17,2,0.0,0.9,0.85,0.0,False,3.8495532274246216,8.397982810323093,high_reward_ablation,0,1.0,0.04558948594445551,reach-v3,high_reward_ablation
metaworld,18,2,0.0,0.95,0.9,0.0,False,3.910399913787842,8.387043932742012,high_reward_ablation,0,1.0,0.045591696932229774,reach-v3,high_reward_ablation
metaworld,19,2,0.0,1.0,0.95,0.0,False,3.9256919622421265,8.374031580765909,high_reward_ablation,0,1.0,0.04558456023863457,reach-v3,high_reward_ablation
metaworld,0,3,0.0,0.05,0.0,0.0,True,-8.477657089180331,8.477667250516461,expert_calibrated,0,1.0,0.04557345501831737,reach-v3,small_pilot_labels
metaworld,1,3,0.0,0.1,0.05,0.0,False,-8.445459222151355,8.44546590199154,expert_calibrated,0,1.0,0.04428576541798107,reach-v3,small_pilot_labels
metaworld,2,3,0.0,0.15,0.1,0.0,False,-8.429372181111416,8.42937566301831,expert_calibrated,0,1.0,0.04288908094981123,reach-v3,small_pilot_labels
metaworld,3,3,0.0,0.2,0.15,0.0,False,-8.41385627895164,8.413861827855655,expert_calibrated,0,1.0,0.04295298185594754,reach-v3,small_pilot_labels
metaworld,4,3,0.0,0.25,0.2,0.0,False,-8.401139016709582,8.401141818911347,expert_calibrated,0,1.0,0.04430242413865549,reach-v3,small_pilot_labels
metaworld,5,3,0.0,0.3,0.25,0.0,False,-8.389080506041461,8.389079565471716,expert_calibrated,0,1.0,0.04295866310120175,reach-v3,small_pilot_labels
metaworld,6,3,0.0,0.35,0.3,0.0,False,-8.381974770843607,8.381976735228683,expert_calibrated,0,1.0,0.04427255607486865,reach-v3,small_pilot_labels
metaworld,7,3,0.0,0.4,0.35,0.0,False,-8.367502839674776,8.367500171119902,expert_calibrated,0,1.0,0.044269215344165454,reach-v3,small_pilot_labels
metaworld,8,2,0.0,0.45,0.4,0.0,False,-8.355774476460734,8.355769806637259,expert_calibrated,0,1.0,0.04177967344652908,reach-v3,small_pilot_labels
metaworld,9,2,0.0,0.5,0.45,0.0,False,-8.34329188793579,8.3432841928161,expert_calibrated,0,1.0,0.04160854889156213,reach-v3,small_pilot_labels
metaworld,10,2,0.0,0.55,0.5,0.0,False,-8.324200540856856,8.324189327853677,expert_calibrated,0,1.0,0.043702788938460066,reach-v3,small_pilot_labels
metaworld,11,2,0.0,0.6,0.55,0.0,False,-8.306194500706011,8.306180584310553,expert_calibrated,0,1.0,0.0456394837534893,reach-v3,small_pilot_labels
metaworld,12,2,0.0,0.65,0.6,0.0,False,-8.303906031224818,8.303889614171624,expert_calibrated,0,1.0,0.04566254150308438,reach-v3,small_pilot_labels
metaworld,13,2,0.0,0.7,0.65,0.0,False,-8.30029413694237,8.300281499405331,expert_calibrated,0,1.0,0.04563884948750783,reach-v3,small_pilot_labels
metaworld,14,2,0.0,0.75,0.7,1.0,False,-8.284960797070124,8.284968755596802,expert_calibrated,0,1.0,0.04375185930048874,reach-v3,small_pilot_labels
metaworld,15,2,0.0,0.8,0.75,1.0,False,-8.249240132356881,8.24924162388126,expert_calibrated,0,1.0,0.0456654330911549,reach-v3,small_pilot_labels
metaworld,16,2,0.0,0.85,0.8,1.0,False,-8.232997840910446,8.232995064087262,expert_calibrated,0,1.0,0.045675172555358426,reach-v3,small_pilot_labels
metaworld,17,2,0.0,0.9,0.85,1.0,False,-8.224952588155155,8.22495122800041,expert_calibrated,0,1.0,0.045678208128903164,reach-v3,small_pilot_labels
metaworld,18,2,0.0,0.95,0.9,1.0,False,-8.191750946712753,8.191742826791561,expert_calibrated,0,1.0,0.04568193564190647,reach-v3,small_pilot_labels
metaworld,19,2,0.0,1.0,0.95,1.0,False,-8.14880357696332,8.148791770660479,expert_calibrated,0,1.0,0.045695370160710354,reach-v3,small_pilot_labels
metaworld,0,3,0.0,0.05,0.0,0.0,True,-8.477667250516461,8.477667250516461,oracle,0,1.0,0.04557345501831737,reach-v3,upper_bound
metaworld,1,3,0.0,0.1,0.05,0.0,False,-8.44546590199154,8.44546590199154,oracle,0,1.0,0.04428576541798107,reach-v3,upper_bound
metaworld,2,3,0.0,0.15,0.1,0.0,False,-8.42937566301831,8.42937566301831,oracle,0,1.0,0.04288908094981123,reach-v3,upper_bound
metaworld,3,3,0.0,0.2,0.15,0.0,False,-8.413861827855655,8.413861827855655,oracle,0,1.0,0.04295298185594754,reach-v3,upper_bound
