seed,model,N,requested_N,gate_selected_N,conservative_high_N_gate,selected_energy,selected_score,selected_real_utility,success_rate,exact_expected_utility,mc_mean_utility,mc_ci_low,mc_ci_high,exact_law_abs_error,low_energy_tail_real_utility,low_energy_tail_invalid_rate,low_energy_tail_contact_failure_rate,low_energy_tail_support_distance,tail_rank_correlation,energy_utility_rank_correlation,invalid_action_rate,contact_failure_rate,support_distance,jerk_smoothness_penalty,contact_feasibility_penalty,oracle_minus_energy_gap,high_n_regret,marginal_utility_per_added_candidate,compute_latency_proxy,energy_evaluations,repair_recovery_ratio,repair_recovery_ratio_reported,recovery_ge_95,utility_not_degraded,tail_rank_improved,support_distance_reduced,deployment_gate,task,learned_model,is_repair_model,source_repair_model
0,raw_ebm,1,1,1,0,17.080019769033207,-17.080019769033207,0.4050315488799323,0.4186197916666658,0.4050315488799323,0.47982443119378293,0.37087833891572203,0.5887705234718438,0.07479288231385062,0.40503154887993426,0.21354166666666666,0.17836347217112714,0.43127444689711075,-0.021485960318654514,-0.021485960318654514,0.21354166666666757,0.17836347217112788,0.4312744468971113,0.1829244297479805,0.17836347217112788,1.887379141862766e-15,1.887379141862766e-15,-1.942890293094024e-15,1.0,1,1.0,1.0,1,1,1,1,collect_pilot_labels,multimodal,numpy_ibc_linear_feature_ebm,0,
0,raw_ebm,2,2,2,0,5.18563981794408,-5.18563981794408,0.275881327617246,0.46558846367729906,0.275881327617246,0.28250647436525544,0.14598556409213786,0.419027384638373,0.006625146748009458,0.23794767248645554,0.3984375,0.34021162526932675,0.4753921210701902,-0.44165121888261394,-0.021485960318654514,0.34502241346571283,0.29574929469269984,0.4610171759238557,0.06317764264736547,0.29574929469269984,0.6826125638842042,0.6826125638842042,-0.12915022126268633,2.0,2,0.0,0.0,0,1,1,1,collect_pilot_labels,multimodal,numpy_ibc_linear_feature_ebm,0,
0,raw_ebm,4,4,4,0,1.0797323497802354,-1.0797323497802354,-0.07613399009003238,0.4012584774354311,-0.07613399009003238,-0.19999560045582812,-0.3454987607489376,-0.05449244016271865,0.12386161036579574,-0.4055387792947783,0.6536458333333334,0.573714914715417,0.6575997787417069,-0.29807886304296227,-0.021485960318654514,0.5172281289688048,0.45016069081238363,0.5627384756157664,0.0239419772278624,0.45016069081238363,1.370344708998356,1.370344708998356,-0.17600765885363917,4.0,4,0.0,0.0,0,1,1,1,collect_pilot_labels,multimodal,numpy_ibc_linear_feature_ebm,0,
0,raw_ebm,8,8,8,0,-0.6722965564262642,0.6722965564262642,-0.4822339536285436,0.28058501312038797,-0.4822339536285436,-0.4165855467068661,-0.5641721051767706,-0.26899898823696156,0.0656484069216775,-0.7254582368776484,0.7708333333333334,0.6866836588370452,0.7412808422096014,-0.1508202669343244,-0.021485960318654514,0.6806315361320145,0.600364944223654,0.6764011105760606,0.009394663028234877,0.600364944223654,1.9577720612988936,1.9577720612988936,-0.1015249908846278,8.0,8,0.0,0.0,0,1,1,1,collect_pilot_labels,multimodal,numpy_ibc_linear_feature_ebm,0,
0,raw_ebm,16,16,16,0,-1.4802233541082974,1.4802233541082974,-0.787440926200861,0.1814643300394416,-0.787440926200861,-0.780081786453805,-0.9055363875194611,-0.6546271853881489,0.007359139747056043,-0.9321323844416144,0.8541666666666666,0.7589586426292257,0.7969763551231092,-0.0716087900162778,-0.021485960318654514,0.7954385922992576,0.7064186733806717,0.7597084724131795,0.004701108873890487,0.7064186733806717,2.3607349365014034,2.3607349365014034,-0.03815087157153968,16.0,16,0.0,0.0,0,1,1,1,collect_pilot_labels,multimodal,numpy_ibc_linear_feature_ebm,0,
0,raw_ebm,32,32,32,0,-1.9130904206996062,1.9130904206996062,-0.9863046859204389,0.11160325774316138,-0.9863046859204389,-0.9581562814244742,-1.0666217200652954,-0.8496908427836528,0.028148404495964674,-0.9955480735843983,0.875,0.7739835197981195,0.8177884529931714,-0.12486263736263736,-0.021485960318654514,0.8683748947815217,0.7714313677325831,0.8147482088233492,0.0030362524365564088,0.7714313677325831,2.6124671715791123,2.6124671715791123,-0.012428984982473613,32.0,32,0.0,0.0,0,1,1,1,collect_pilot_labels,multimodal,numpy_ibc_linear_feature_ebm,0,
0,raw_ebm,64,64,64,0,-2.1931084718154414,2.1931084718154414,-1.1339281365602942,0.05375056011683953,-1.1339281365602942,-1.153397560944862,-1.2270361530056646,-1.0797589688840592,0.01946942438456767,-0.9955480735843983,0.875,0.7739835197981195,0.8177884529931714,-0.12486263736263736,-0.021485960318654514,0.9189911600959401,0.81580120753626,0.8571804185365567,0.002195415517914543,0.81580120753626,2.7905760630245497,2.7905760630245497,-0.004613232832495481,64.0,64,0.0,0.0,0,1,1,1,collect_pilot_labels,multimodal,numpy_ibc_linear_feature_ebm,0,
0,raw_ebm,128,128,128,0,-2.385569032322436,2.385569032322436,-1.23577676309014,0.013003506680927432,-1.23577676309014,-1.2498671938394212,-1.2959088132579848,-1.2038255744208577,0.01409043074928129,-0.9955480735843983,0.875,0.7739835197981195,0.8177884529931714,-0.12486263736263736,-0.021485960318654514,0.9521127876283335,0.8471277606818474,0.8862280405634456,0.0016112110221990542,0.8471277606818474,2.910584968053912,2.910584968053912,-0.0015913847895288394,128.0,128,0.0,0.0,0,1,1,1,collect_pilot_labels,multimodal,numpy_ibc_linear_feature_ebm,0,
0,raw_ebm,256,256,256,0,-2.519134607929245,2.519134607929245,-1.2725425054171575,0.0008226622093229426,-1.2725425054171575,-1.3007270438059433,-1.3314772267701216,-1.269976860841765,0.028184538388785763,-0.9955480735843983,0.875,0.7739835197981195,0.8177884529931714,-0.12486263736263736,-0.021485960318654514,0.9701567419304176,0.8607437516770776,0.8961538136354261,0.00116805795539856,0.8607437516770776,2.957333721900235,2.957333721900235,-0.00028723236192982476,256.0,256,0.0,0.0,0,1,1,1,collect_pilot_labels,multimodal,numpy_ibc_linear_feature_ebm,0,
0,raw_ebm,512,512,512,0,-2.6196568242785654,2.6196568242785654,-1.257244446820257,4.428637818862012e-06,-1.257244446820257,-1.2466301570162404,-1.2807696458422175,-1.2124906681902632,0.010614289804016686,-0.9955480735843983,0.875,0.7739835197981195,0.8177884529931714,-0.12486263736263736,-0.021485960318654514,0.9899347739538908,0.8527741414080878,0.892438422273467,0.0007886800313617304,0.8527741414080878,2.9471934578948167,2.9471934578948167,5.975804139414249e-05,512.0,512,0.0,0.0,0,1,1,1,collect_pilot_labels,multimodal,numpy_ibc_linear_feature_ebm,0,
