model,N,num_seeds,selected_energy,selected_energy_ci_low,selected_energy_ci_high,selected_score,selected_score_ci_low,selected_score_ci_high,selected_real_utility,selected_real_utility_ci_low,selected_real_utility_ci_high,success_rate,success_rate_ci_low,success_rate_ci_high,exact_law_abs_error,exact_law_abs_error_ci_low,exact_law_abs_error_ci_high,low_energy_tail_real_utility,low_energy_tail_real_utility_ci_low,low_energy_tail_real_utility_ci_high,low_energy_tail_invalid_rate,low_energy_tail_invalid_rate_ci_low,low_energy_tail_invalid_rate_ci_high,low_energy_tail_contact_failure_rate,low_energy_tail_contact_failure_rate_ci_low,low_energy_tail_contact_failure_rate_ci_high,low_energy_tail_support_distance,low_energy_tail_support_distance_ci_low,low_energy_tail_support_distance_ci_high,tail_rank_correlation,tail_rank_correlation_ci_low,tail_rank_correlation_ci_high,energy_utility_rank_correlation,energy_utility_rank_correlation_ci_low,energy_utility_rank_correlation_ci_high,invalid_action_rate,invalid_action_rate_ci_low,invalid_action_rate_ci_high,contact_failure_rate,contact_failure_rate_ci_low,contact_failure_rate_ci_high,support_distance,support_distance_ci_low,support_distance_ci_high,jerk_smoothness_penalty,jerk_smoothness_penalty_ci_low,jerk_smoothness_penalty_ci_high,contact_feasibility_penalty,contact_feasibility_penalty_ci_low,contact_feasibility_penalty_ci_high,oracle_minus_energy_gap,oracle_minus_energy_gap_ci_low,oracle_minus_energy_gap_ci_high,high_n_regret,high_n_regret_ci_low,high_n_regret_ci_high,marginal_utility_per_added_candidate,marginal_utility_per_added_candidate_ci_low,marginal_utility_per_added_candidate_ci_high,compute_latency_proxy,compute_latency_proxy_ci_low,compute_latency_proxy_ci_high,energy_evaluations,energy_evaluations_ci_low,energy_evaluations_ci_high,requested_N,requested_N_ci_low,requested_N_ci_high,gate_selected_N,gate_selected_N_ci_low,gate_selected_N_ci_high,conservative_high_N_gate,conservative_high_N_gate_ci_low,conservative_high_N_gate_ci_high,repair_recovery_ratio,repair_recovery_ratio_ci_low,repair_recovery_ratio_ci_high,repair_recovery_ratio_reported,repair_recovery_ratio_reported_ci_low,repair_recovery_ratio_reported_ci_high,recovery_ge_95,recovery_ge_95_ci_low,recovery_ge_95_ci_high,utility_not_degraded,utility_not_degraded_ci_low,utility_not_degraded_ci_high,tail_rank_improved,tail_rank_improved_ci_low,tail_rank_improved_ci_high,support_distance_reduced,support_distance_reduced_ci_low,support_distance_reduced_ci_high,deployment_gate
calibrated,1,5,-0.36767192640446283,-0.4035312252781982,-0.3318126275307275,0.36767192640446283,0.3318126275307275,0.4035312252781982,0.36881412606233066,0.34225962340938354,0.3953686287152778,0.4050781249999996,0.39055477505293534,0.4196014749470639,0.03059971314623198,0.006827535884403421,0.054371890408060536,0.3688141260623306,0.34225962340938343,0.3953686287152778,0.2251302083333333,0.21636908801255392,0.2338913286541127,0.18772802898610752,0.1815127652677892,0.19394329270442584,0.44867157477242675,0.43797972356153025,0.45936342598332325,0.9797912922610355,0.9753574821316924,0.9842251023903785,0.9797912922610355,0.9753574821316924,0.9842251023903785,0.2251302083333334,0.2163690880125541,0.23389132865411266,0.1877280289861075,0.1815127652677891,0.1939432927044259,0.44867157477242686,0.43797972356153025,0.45936342598332347,0.1828523600532339,0.17515630543274407,0.19054841467372374,0.1877280289861075,0.1815127652677891,0.1939432927044259,-5.551115123125783e-17,-2.5315953868891016e-16,1.421372362263945e-16,-5.551115123125783e-17,-2.5315953868891016e-16,1.421372362263945e-16,5.551115123125783e-17,-1.6209256159527285e-16,2.731148640577885e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,stop_early
calibrated,2,5,-0.8964727689240025,-0.924098631526399,-0.868846906321606,0.8964727689240025,0.868846906321606,0.924098631526399,0.919466843800088,0.8964065744040379,0.9425271131961381,0.6378596835666228,0.6200246806720026,0.6556946864612431,0.01861144327036961,0.009162716622930781,0.02806016991780844,1.1696454677552692,1.1518705243570369,1.1874204111535016,0.011197916666666667,0.0092881123755008,0.013107720957832534,0.002566580837445285,0.002246136392409278,0.0028870252824812924,0.19086180113348875,0.18612894211049563,0.19559466015648186,0.8882789678005096,0.8612474920631245,0.9153104435378948,0.9797912922610355,0.9753574821316924,0.9842251023903785,0.0593238830566407,0.05478428162082524,0.06386348449245616,0.042079898465745794,0.039012542199423954,0.04514725473206763,0.27442390216630735,0.2665606613187559,0.2822871430138588,0.15601925811676892,0.14935448842588234,0.1626840278076555,0.042079898465745794,0.039012542199423954,0.04514725473206763,0.00870412367330009,0.007513437391245699,0.009894809955354482,0.00870412367330009,0.007513437391245699,0.009894809955354482,0.5506527177377574,0.5465826468817897,0.554722788593725,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.9881383736288741,0.9860752485712115,0.9902014986865367,0.9881383736288741,0.9860752485712115,0.9902014986865367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,stop_early
calibrated,4,5,-1.173880999602185,-1.192278449991208,-1.155483549213162,1.173880999602185,1.155483549213162,1.192278449991208,1.2552380143169333,1.2395609919906392,1.2709150366432274,0.8559879885825117,0.8407462053225401,0.8712297718424833,0.025148534157622703,0.01022280115532779,0.04007426715991762,1.4053185930614327,1.3900639144910714,1.420573271631794,0.007291666666666666,0.0011666666666666657,0.013416666666666667,0.0019935654594222182,0.001128659726508589,0.0028584711923358474,0.13102056098977255,0.12679299442191352,0.13524812755763158,0.784173858126208,0.7502549693368982,0.8180927469155178,0.9797912922610355,0.9753574821316924,0.9842251023903785,0.01179250521764283,0.008951093332754595,0.014633917102531067,0.004411279643182549,0.003781775228054319,0.0050407840583107785,0.1705344499765058,0.1661633014410601,0.1749055985119515,0.10939693604443208,0.09808754093252278,0.12070633115634138,0.004411279643182549,0.003781775228054319,0.0050407840583107785,0.01875492196819386,0.014673970253338112,0.022835873683049606,0.01875492196819386,0.014673970253338112,0.022835873683049606,0.1678855852584227,0.16334248803758442,0.172428682479261,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.9870195198386116,0.9837392064011766,0.9902998332760465,0.9870195198386116,0.9837392064011766,0.9902998332760465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,stop_early
calibrated,8,5,-1.2987151758524678,-1.3151990275581833,-1.2822313241467522,1.2987151758524678,1.2822313241467522,1.3151990275581833,1.4343011949088296,1.422823260917394,1.445779128900265,0.9688435574973641,0.9597410969343609,0.9779460180603672,0.014036135025119023,0.008836027227919346,0.0192362428223187,1.5251414136503763,1.5160360264967714,1.5342468008039811,0.005208333333333333,-0.0003830011078652376,0.010799667774531903,0.0015612371744520993,0.0008261201050291001,0.0022963542438750985,0.09690436960768924,0.09435502951403864,0.09945370970133983,0.7154663890622033,0.6888331880684566,0.7420995900559499,0.9797912922610355,0.9753574821316924,0.9842251023903785,0.006551549435880577,0.002019185843846594,0.01108391302791456,0.0018124881555742062,0.0011805587155897263,0.002444417595558686,0.12089199306323031,0.11767822372700387,0.12410576239945675,0.07487024637961077,0.06421007288341518,0.08553041987580637,0.0018124881555742062,0.0011805587155897263,0.002444417595558686,0.026905717742558365,0.020884823022947432,0.0329266124621693,0.026905717742558365,0.020884823022947432,0.0329266124621693,0.04476579514797403,0.04316308749700193,0.04636850279894614,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.9868558167382183,0.9834782686018776,0.990233364874559,0.9868558167382183,0.9834782686018776,0.990233364874559,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,stop_early
calibrated,16,5,-1.3735030963652473,-1.389444624353899,-1.3575615683765956,1.3735030963652473,1.3575615683765956,1.389444624353899,1.536407437231368,1.528544704389964,1.5442701700727721,0.9937318414863988,0.987188564803394,1.0002751181694036,0.00478023390779061,0.002336826900603532,0.007223640914977688,1.5930776741532626,1.5885483989558549,1.5976069493506704,0.004166666666666667,-0.003999999999999999,0.012333333333333332,0.0013330435862535272,0.0006374178102735758,0.0020286693622334788,0.0736307717233876,0.0720728952965704,0.07518864815020479,0.6308790016277808,0.5915516997769558,0.6702063034786058,0.9797912922610355,0.9753574821316924,0.9842251023903785,0.004555889164411913,-0.0012111234547863142,0.010322901783610141,0.00143932118155453,0.0007993898254917807,0.0020792525376172794,0.09096566539468351,0.08859669579883617,0.09333463499053085,0.050207693558312394,0.04219658704950208,0.05821880006712271,0.00143932118155453,0.0007993898254917807,0.0020792525376172794,0.027742447917189363,0.022650580896687148,0.03283431493769158,0.027742447917189363,0.022650580896687148,0.03283431493769158,0.012763280290317331,0.0122582613636399,0.013268299216994761,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.9888300282962866,0.9864189992108761,0.9912410573816972,0.9888300282962866,0.9864189992108761,0.9912410573816972,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,stop_early
calibrated,32,5,-1.4249732354646951,-1.4407232055217567,-1.4092232654076335,1.4249732354646951,1.4092232654076335,1.4407232055217567,1.5966816580859307,1.5918514054203734,1.601511910751488,0.9963027259698821,0.9897988419787392,1.0028066099610249,0.00432441277595963,0.002250559801653031,0.006398265750266228,1.6173909048232755,1.6122783601186037,1.6225034495279473,0.003125,-0.003,0.009250000000000001,0.0008080299581161101,0.00018145815601348502,0.0014346017602187354,0.06315108535773123,0.061189953897245915,0.06511221681821654,0.568452380952381,0.5214468937364999,0.6154578681682622,0.9797912922610355,0.9753574821316924,0.9842251023903785,0.0036504075312491025,-0.0028166417810051234,0.010117456843503328,0.0011093506617152024,0.0005119270923202249,0.00170677423111018,0.07030006253908992,0.0685504779910777,0.07204964708710214,0.03563672368108682,0.02928936700596764,0.041984080356206,0.0011093506617152024,0.0005119270923202249,0.00170677423111018,0.023831973602188982,0.02081460118989964,0.026849346014478324,0.023831973602188982,0.02081460118989964,0.026849346014478324,0.0037671388034101637,0.00354008554461435,0.003994192062205977,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.9913605012615303,0.9900245639859624,0.9926964385370982,0.9913605012615303,0.9900245639859624,0.9926964385370982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,stop_early
calibrated,64,5,-1.461922995945289,-1.478412237904561,-1.4454337539860171,1.461922995945289,1.4454337539860171,1.478412237904561,1.632352812381096,1.628976063609541,1.635729561152651,0.9971400332929947,0.9915668689490653,1.0027131976369241,0.0032490594419466667,0.0005930668069688175,0.005905052076924516,1.6173909048232755,1.6122783601186037,1.6225034495279473,0.003125,-0.003,0.009250000000000001,0.0008080299581161101,0.00018145815601348502,0.0014346017602187354,0.06315108535773123,0.061189953897245915,0.06511221681821654,0.568452380952381,0.5214468937364999,0.6154578681682622,0.9797912922610355,0.9753574821316924,0.9842251023903785,0.0028598243232293443,-0.0027132805245377637,0.008432929170996452,0.0007876098094325727,0.0002284891937634761,0.0013467304251016693,0.05572798298788253,0.05418055951536753,0.05727540646039753,0.027810404533127876,0.021229432633504835,0.03439137643275092,0.0007876098094325727,0.0002284891937634761,0.0013467304251016693,0.019485376934437547,0.0174193368516738,0.021551417017201292,0.019485376934437547,0.0174193368516738,0.021551417017201292,0.0011147235717239162,0.0010415673157957495,0.001187879827652083,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.9932948813521589,0.9924718218890107,0.9941179408153071,0.9932948813521589,0.9924718218890107,0.9941179408153071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,stop_early
calibrated,128,5,-1.4894271493362414,-1.5075450172144804,-1.4713092814580024,1.4894271493362414,1.4713092814580024,1.5075450172144804,1.6534899710767035,1.6496452988015469,1.65733464335186,0.9985467601859114,0.9956984551687129,1.0013950652031098,0.002275830380980759,0.0005293211095031933,0.004022339652458325,1.6173909048232755,1.6122783601186037,1.6225034495279473,0.003125,-0.003,0.009250000000000001,0.0008080299581161101,0.00018145815601348502,0.0014346017602187354,0.06315108535773123,0.061189953897245915,0.06511221681821654,0.568452380952381,0.5214468937364999,0.6154578681682622,0.9797912922610355,0.9753574821316924,0.9842251023903785,0.0014532398123268903,-0.0013950652051926665,0.004301544829846447,0.0005211014162451181,4.8922455270539547e-05,0.0009932803772196965,0.045713521897756175,0.04394842377854554,0.04747862001696681,0.02255870978641054,0.015035988333616676,0.030081431239204405,0.0005211014162451181,4.8922455270539547e-05,0.0009932803772196965,0.016331965515475222,0.014146440369120827,0.018517490661829616,0.016331965515475222,0.014146440369120827,0.018517490661829616,0.00033026810461887144,0.00030576915612585514,0.00035476705311188774,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,0.0,0.0,0.0,0.9945071489407077,0.9937447597348508,0.9952695381465646,0.9945071489407077,0.9937447597348508,0.9952695381465646,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,stop_early
calibrated,256,5,-1.5104050547539223,-1.5303582786043597,-1.4904518309034849,1.5104050547539223,1.4904518309034849,1.5303582786043597,1.6656980226772398,1.661412040422676,1.6699840049318035,0.9997623207863684,0.9992964695277005,1.0002281720450363,0.0012593944313950445,0.0004638325153210835,0.0020549563474690055,1.6173909048232755,1.6122783601186037,1.6225034495279473,0.003125,-0.003,0.009250000000000001,0.0008080299581161101,0.00018145815601348502,0.0014346017602187354,0.06315108535773123,0.061189953897245915,0.06511221681821654,0.568452380952381,0.5214468937364999,0.6154578681682622,0.9797912922610355,0.9753574821316924,0.9842251023903785,0.00023767921363154802,-0.00022817204503637422,0.0007035304722994703,0.00032611010207378796,-3.399642936444477e-05,0.0006862166335120207,0.03917759783339118,0.036935763258988535,0.04141943240779382,0.018880533696223577,0.010451407005810803,0.02730966038663635,0.00032611010207378796,-3.399642936444477e-05,0.0006862166335120207,0.014497236402517145,0.012289505325754194,0.016704967479280096,0.014497236402517145,0.012289505325754194,0.016704967479280096,9.537540312918626e-05,8.741157318490204e-05,0.00010333923307347047,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,0.0,0.0,0.0,0.9951735781644772,0.9944317906132213,0.995915365715733,0.9951735781644772,0.9944317906132213,0.995915365715733,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,stop_early
calibrated,512,5,-1.5266682755778445,-1.5484619128193964,-1.5048746383362925,1.5266682755778445,1.5048746383362925,1.5484619128193964,1.6726177320636435,1.6684664197424914,1.6767690443847956,0.9999966710901521,0.9999901464268502,1.000003195753454,0.0006764016116561411,0.00024002436996479445,0.0011127788533474878,1.6173909048232755,1.6122783601186037,1.6225034495279473,0.003125,-0.003,0.009250000000000001,0.0008080299581161101,0.00018145815601348502,0.0014346017602187354,0.06315108535773123,0.061189953897245915,0.06511221681821654,0.568452380952381,0.5214468937364999,0.6154578681682622,0.9797912922610355,0.9753574821316924,0.9842251023903785,3.3289098479097895e-06,-3.195753453993397e-06,9.853573149812975e-06,0.00018479673623448788,-6.753743944358902e-05,0.00043713091191256476,0.03510624501779054,0.031926849178385695,0.03828564085719539,0.016350452263934088,0.007187959574187835,0.02551294495368034,0.00018479673623448788,-6.753743944358902e-05,0.00043713091191256476,0.013281657403885695,0.010376575458898165,0.016186739348873224,0.013281657403885695,0.010376575458898165,0.016186739348873224,2.703011479064047e-05,1.878851860261714e-05,3.52717109786638e-05,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,0.0,0.0,0.0,0.9955909365859155,0.9945971909642914,0.9965846822075395,0.9955909365859155,0.9945971909642914,0.9965846822075395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,stop_early
