policy,tasks,mean_success_rate,mean_total_reward,mean_fallback_rate,runtime_scripted_expert_dependency,uses_learned_demo_proposal,uses_learned_bc_proposal,uses_state_heuristic_proposal
expert_centered_gate,4,1.0,153.20396550532038,0.13857330873740129,True,False,False,False
expert_centered_no_gate,4,0.65,121.80515300471495,0.0,True,False,False,False
learned_bc_proposal_direct,4,0.5,149.29462453198644,0.0,False,False,True,False
learned_bc_proposal_no_gate,4,0.39999999999999997,170.39003190263722,0.0,False,False,True,False
learned_demo_proposal_direct,4,0.3,184.5605164251255,0.0,False,True,False,False
learned_demo_proposal_no_gate,4,0.3,168.6757614216322,0.0,False,True,False,False
local_gaussian_no_gate,4,0.05,121.57599981848536,0.0,False,False,False,False
mixed_expert_local_no_gate,4,0.2,89.77228800333401,0.0,True,False,False,False
random_uniform,4,0.0,47.52047396209455,0.0,False,False,False,False
scripted_expert,4,1.0,150.33240543190908,0.0,True,False,False,False
state_heuristic_direct,4,1.0,150.33242572190943,0.0,False,False,False,True
state_heuristic_proposal_no_gate,4,1.0,152.78304552702508,0.0,False,False,False,True
