seed,policy,N,refinement_steps,energy_evaluations,latency_proxy,selected_real_utility,selected_energy,utility_per_energy_eval,stop_rule
0,sample_only,1,0,1,1.0,0.681327709641059,-1.7201609725372444,0.681327709641059,continue
0,cem_like_topk_refinement,1,1,2,2.0,-1.1464918290901542,-2.738011899572941,-0.5732459145450771,continue
0,langevin_like_refinement,1,1,2,2.0,0.6855576129022362,-1.759945801775244,0.3427788064511181,continue
0,sample_only,2,0,2,2.0,0.28837928701590937,-2.1693257332651097,0.14418964350795468,continue
0,cem_like_topk_refinement,2,1,4,4.0,-1.2563857500282822,-2.8737180636159665,-0.31409643750707056,continue
0,langevin_like_refinement,2,1,4,4.0,0.2900255134627564,-2.1977430699419016,0.0725063783656891,continue
0,sample_only,4,0,4,4.0,-0.3792381716748159,-2.550980749401601,-0.09480954291870397,continue
0,cem_like_topk_refinement,4,1,8,8.0,-1.3129570123290404,-2.9559978393465594,-0.16411962654113005,continue
0,langevin_like_refinement,4,1,8,8.0,-0.3770346192446194,-2.5666179506290843,-0.047129327405577424,continue
0,sample_only,8,0,8,8.0,-1.0211075476423894,-2.8321477180459262,-0.12763844345529868,continue
0,cem_like_topk_refinement,8,1,16,16.0,-1.324325217992043,-3.0065052272272963,-0.08277032612450269,continue
0,langevin_like_refinement,8,1,16,16.0,-1.0152795285695595,-2.8381642802682228,-0.06345497053559747,continue
0,sample_only,16,0,16,16.0,-1.3257273835474772,-2.978058072313148,-0.08285796147171733,continue
0,cem_like_topk_refinement,16,1,32,32.0,-1.3126592548840816,-3.0392447968539194,-0.04102060171512755,continue
0,langevin_like_refinement,16,1,32,32.0,-1.3162562866081275,-2.9784128400793297,-0.041133008956503986,continue
0,sample_only,32,0,32,32.0,-1.3731101842349354,-3.0339577378961575,-0.04290969325734173,stop_early
0,cem_like_topk_refinement,32,1,64,64.0,-1.2982363425863679,-3.0620103075583813,-0.020284942852911998,stop_early
0,langevin_like_refinement,32,1,64,64.0,-1.3632663688935491,-3.031627564019798,-0.021301037013961705,stop_early
0,sample_only,64,0,64,64.0,-1.3594171793717464,-3.0616766995984284,-0.021240893427683538,stop_early
0,cem_like_topk_refinement,64,1,128,128.0,-1.2842387161785211,-3.079579322332666,-0.010033114970144696,stop_early
0,langevin_like_refinement,64,1,128,128.0,-1.357316153100384,-3.0575555777870957,-0.01060403244609675,stop_early
0,sample_only,128,0,128,128.0,-1.3276650860015469,-3.081431365748875,-0.010372383484387085,stop_early
0,cem_like_topk_refinement,128,1,256,256.0,-1.2594033855824271,-3.0946252694278615,-0.004919544474931356,stop_early
0,langevin_like_refinement,128,1,256,256.0,-1.3475992304020414,-3.074279021563154,-0.005264059493757974,stop_early
