seed,policy,N,refinement_steps,energy_evaluations,latency_proxy,selected_real_utility,selected_energy,utility_per_energy_eval,stop_rule
0,sample_only,1,0,1,1.0,0.6689533139055359,-1.7444951437716816,0.6689533139055359,continue
0,cem_like_topk_refinement,1,1,2,2.0,-1.1549292329217224,-2.750792998714214,-0.5774646164608612,continue
0,langevin_like_refinement,1,1,2,2.0,0.6787558486678585,-1.785436727514574,0.33937792433392927,continue
0,sample_only,2,0,2,2.0,0.27965241519292133,-2.1833216546089416,0.13982620759646067,continue
0,cem_like_topk_refinement,2,1,4,4.0,-1.2519117130141122,-2.8802136701191308,-0.31297792825352805,continue
0,langevin_like_refinement,2,1,4,4.0,0.2846119883083523,-2.213333889609359,0.07115299707708808,continue
0,sample_only,4,0,4,4.0,-0.3806492712894187,-2.5596978059115036,-0.09516231782235468,continue
0,cem_like_topk_refinement,4,1,8,8.0,-1.2893065245642679,-2.9585969503115903,-0.16116331557053348,continue
0,langevin_like_refinement,4,1,8,8.0,-0.3773303485790443,-2.5777984100189753,-0.04716629357238054,continue
0,sample_only,8,0,8,8.0,-1.0154480202141567,-2.839311632319018,-0.1269310025267696,continue
0,cem_like_topk_refinement,8,1,16,16.0,-1.2825684284471741,-3.0089680134902554,-0.08016052677794838,continue
0,langevin_like_refinement,8,1,16,16.0,-1.0089709371355269,-2.8484260398126917,-0.06306068357097043,continue
0,sample_only,16,0,16,16.0,-1.314682359049738,-2.9833408431746915,-0.08216764744060863,continue
0,cem_like_topk_refinement,16,1,32,32.0,-1.2602761443355248,-3.0422414357284797,-0.03938362951048515,continue
0,langevin_like_refinement,16,1,32,32.0,-1.3033903031891436,-2.9880265761107307,-0.04073094697466074,continue
0,sample_only,32,0,32,32.0,-1.3540354565440442,-3.035865372745331,-0.04231360801700138,stop_early
0,cem_like_topk_refinement,32,1,64,64.0,-1.2430321900815477,-3.0651043323455522,-0.019422377970024184,stop_early
0,langevin_like_refinement,32,1,64,64.0,-1.3475605259098837,-3.039895579414109,-0.021055633217341933,stop_early
0,sample_only,64,0,64,64.0,-1.3330783266784587,-3.060268577638177,-0.020829348854350917,stop_early
0,cem_like_topk_refinement,64,1,128,128.0,-1.23386465356529,-3.082008349801031,-0.009639567605978828,stop_early
0,langevin_like_refinement,64,1,128,128.0,-1.3482528109114587,-3.064820974492726,-0.01053322508524577,stop_early
0,sample_only,128,0,128,128.0,-1.3013621544861107,-3.075903647810018,-0.01016689183192274,stop_early
0,cem_like_topk_refinement,128,1,256,256.0,-1.2349110901192206,-3.095145918261821,-0.0048238714457782056,stop_early
0,langevin_like_refinement,128,1,256,256.0,-1.344246093287744,-3.0808143868161006,-0.00525096130190525,stop_early
0,sample_only,256,0,256,256.0,-1.264107954206319,-3.087339933040112,-0.004937921696118433,stop_early
0,cem_like_topk_refinement,256,1,512,512.0,-1.2458049301734127,-3.105888537583787,-0.0024332127542449466,stop_early
0,langevin_like_refinement,256,1,512,512.0,-1.325165709171149,-3.0918323058716073,-0.0025882142757249005,stop_early
0,sample_only,512,0,512,512.0,-1.2282814240778352,-3.0966093026325106,-0.002398987156402022,stop_early
0,cem_like_topk_refinement,512,1,1024,1024.0,-1.251605103429525,-3.1146287253718357,-0.0012222706088178955,stop_early
0,langevin_like_refinement,512,1,1024,1024.0,-1.2891615587252752,-3.09907488171942,-0.0012589468346926515,stop_early
1,sample_only,1,0,1,1.0,0.6597716003091136,-1.7261221388049548,0.6597716003091136,continue
1,cem_like_topk_refinement,1,1,2,2.0,-1.1262967604766196,-2.7235805133903477,-0.5631483802383098,continue
1,langevin_like_refinement,1,1,2,2.0,0.6685265361892988,-1.7642206519586041,0.3342632680946494,continue
1,sample_only,2,0,2,2.0,0.2639137399650587,-2.165972146080443,0.13195686998252934,continue
1,cem_like_topk_refinement,2,1,4,4.0,-1.2402615355144302,-2.8662406959569537,-0.31006538387860755,continue
1,langevin_like_refinement,2,1,4,4.0,0.2735240181155705,-2.1929567073168643,0.06838100452889262,continue
1,sample_only,4,0,4,4.0,-0.3943034172113118,-2.5490288993234094,-0.09857585430282795,continue
1,cem_like_topk_refinement,4,1,8,8.0,-1.30261807599091,-2.9535234126162786,-0.16282725949886376,continue
1,langevin_like_refinement,4,1,8,8.0,-0.3821081808572893,-2.5635851438910464,-0.047763522607161164,continue
1,sample_only,8,0,8,8.0,-1.0173512916769076,-2.834432865602316,-0.12716891145961345,continue
1,cem_like_topk_refinement,8,1,16,16.0,-1.3252365568780191,-3.0087784487186573,-0.0828272848048762,continue
1,langevin_like_refinement,8,1,16,16.0,-1.0032970505789325,-2.840822219160393,-0.06270606566118328,continue
1,sample_only,16,0,16,16.0,-1.3023953649994893,-2.9823887688035384,-0.08139971031246808,continue
1,cem_like_topk_refinement,16,1,32,32.0,-1.3281091808190761,-3.0448814511506614,-0.04150341190059613,continue
1,langevin_like_refinement,16,1,32,32.0,-1.2904259053562552,-2.987576975489021,-0.040325809542382976,continue
1,sample_only,32,0,32,32.0,-1.3389081122436626,-3.0368289522168572,-0.041840878507614455,stop_early
1,cem_like_topk_refinement,32,1,64,64.0,-1.3310090440119005,-3.0693038581237544,-0.020797016312685945,stop_early
1,langevin_like_refinement,32,1,64,64.0,-1.3325771780932543,-3.045398311171385,-0.020821518407707098,stop_early
1,sample_only,64,0,64,64.0,-1.3310281494985652,-3.0610064427715735,-0.02079731483591508,stop_early
1,cem_like_topk_refinement,64,1,128,128.0,-1.3321864670343553,-3.0870531900189873,-0.0104077067737059,stop_early
1,langevin_like_refinement,64,1,128,128.0,-1.3238449640187855,-3.07298542468702,-0.010342538781396762,stop_early
1,sample_only,128,0,128,128.0,-1.3316894569158086,-3.0760521670803063,-0.010403823882154755,stop_early
1,cem_like_topk_refinement,128,1,256,256.0,-1.315778162444649,-3.1018437544534185,-0.00513975844704941,stop_early
1,langevin_like_refinement,128,1,256,256.0,-1.3040441631555475,-3.089458581278346,-0.005093922512326357,stop_early
1,sample_only,256,0,256,256.0,-1.3522035204899139,-3.0871122804258686,-0.005282045001913726,stop_early
1,cem_like_topk_refinement,256,1,512,512.0,-1.2885379065589921,-3.1158812006186967,-0.0025166755987480315,stop_early
1,langevin_like_refinement,256,1,512,512.0,-1.2751752300135146,-3.101093548636961,-0.0024905766211201458,stop_early
1,sample_only,512,0,512,512.0,-1.391765554599085,-3.095003538217412,-0.002718292098826338,stop_early
1,cem_like_topk_refinement,512,1,1024,1024.0,-1.2606042519276068,-3.130120753638508,-0.0012310588397730535,stop_early
1,langevin_like_refinement,512,1,1024,1024.0,-1.24509627730455,-3.1109079763134257,-0.0012159143333052246,stop_early
2,sample_only,1,0,1,1.0,0.6874899605226137,-1.6974638174075227,0.6874899605226137,continue
2,cem_like_topk_refinement,1,1,2,2.0,-1.1334822687471093,-2.7269333363062174,-0.5667411343735547,continue
2,langevin_like_refinement,1,1,2,2.0,0.6982363295696347,-1.7369938223271066,0.34911816478481733,continue
2,sample_only,2,0,2,2.0,0.327069569408013,-2.1417585711968647,0.1635347847040065,continue
2,cem_like_topk_refinement,2,1,4,4.0,-1.2424507169751442,-2.8694657675138684,-0.31061267924378605,continue
2,langevin_like_refinement,2,1,4,4.0,0.33263875345544125,-2.1706593097918225,0.08315968836386031,continue
2,sample_only,4,0,4,4.0,-0.3254474873530632,-2.526549404858222,-0.0813618718382658,continue
2,cem_like_topk_refinement,4,1,8,8.0,-1.2962697616607566,-2.954423383502437,-0.16203372020759457,continue
2,langevin_like_refinement,4,1,8,8.0,-0.32047285599734976,-2.5435598312267467,-0.04005910699966872,continue
2,sample_only,8,0,8,8.0,-0.981494237427806,-2.8188705225724298,-0.12268677967847574,continue
2,cem_like_topk_refinement,8,1,16,16.0,-1.3169452580950887,-3.005790531668818,-0.08230907863094304,continue
2,langevin_like_refinement,8,1,16,16.0,-0.9746039820247321,-2.827399199819354,-0.060912748876545755,continue
2,sample_only,16,0,16,16.0,-1.3130798873378355,-2.9736456029392317,-0.08206749295861472,continue
2,cem_like_topk_refinement,16,1,32,32.0,-1.3166668324974837,-3.039182658301854,-0.04114583851554637,continue
2,langevin_like_refinement,16,1,32,32.0,-1.3032161948828584,-2.9780504187351555,-0.040725506090089326,continue
2,sample_only,32,0,32,32.0,-1.3746131854504435,-3.0289634445198543,-0.04295666204532636,stop_early
2,cem_like_topk_refinement,32,1,64,64.0,-1.308557355068763,-3.0627112173942077,-0.020446208672949422,stop_early
2,langevin_like_refinement,32,1,64,64.0,-1.3578598201187313,-3.032327986667131,-0.021216559689355177,stop_early
2,sample_only,64,0,64,64.0,-1.3777420712675406,-3.0531970491877867,-0.02152721986355532,stop_early
2,cem_like_topk_refinement,64,1,128,128.0,-1.3076687646668754,-3.080832806125883,-0.010216162223959964,stop_early
2,langevin_like_refinement,64,1,128,128.0,-1.3517562584399232,-3.0573158355858827,-0.0105605957690619,stop_early
2,sample_only,128,0,128,128.0,-1.3714207837309451,-3.0689801510333745,-0.010714224872898009,stop_early
2,cem_like_topk_refinement,128,1,256,256.0,-1.3225024406395587,-3.0967519725555537,-0.005166025158748276,stop_early
2,langevin_like_refinement,128,1,256,256.0,-1.3454022785408661,-3.0747242164965085,-0.005255477650550258,stop_early
2,sample_only,256,0,256,256.0,-1.3722600020451452,-3.079824028678321,-0.0053603906329888484,stop_early
2,cem_like_topk_refinement,256,1,512,512.0,-1.346262814188599,-3.112087759955503,-0.0026294195589621075,stop_early
2,langevin_like_refinement,256,1,512,512.0,-1.3405869059209992,-3.088007618980165,-0.0026183338006269515,stop_early
2,sample_only,512,0,512,512.0,-1.3844363736075747,-3.087272705478414,-0.0027039772922022942,stop_early
2,cem_like_topk_refinement,512,1,1024,1024.0,-1.373136440462524,-3.1267834551356093,-0.0013409535551391835,stop_early
2,langevin_like_refinement,512,1,1024,1024.0,-1.3270507403751703,-3.097530293454095,-0.0012959479886476273,stop_early
3,sample_only,1,0,1,1.0,0.6840564599642635,-1.7340665838366816,0.6840564599642635,continue
3,cem_like_topk_refinement,1,1,2,2.0,-1.1434943711634384,-2.732361399793512,-0.5717471855817192,continue
3,langevin_like_refinement,1,1,2,2.0,0.690442330742952,-1.7736766560367345,0.345221165371476,continue
3,sample_only,2,0,2,2.0,0.2813106725747152,-2.178745920976112,0.1406553362873576,continue
3,cem_like_topk_refinement,2,1,4,4.0,-1.2610155885350058,-2.869109001038393,-0.31525389713375146,continue
3,langevin_like_refinement,2,1,4,4.0,0.28445966992299404,-2.2074190041689064,0.07111491748074851,continue
3,sample_only,4,0,4,4.0,-0.3910921971244427,-2.555449455082956,-0.09777304928111068,continue
3,cem_like_topk_refinement,4,1,8,8.0,-1.3249961459309945,-2.9524021384203865,-0.1656245182413743,continue
3,langevin_like_refinement,4,1,8,8.0,-0.38646369688349996,-2.57202192240148,-0.048307962110437495,continue
3,sample_only,8,0,8,8.0,-1.03127787845853,-2.8322304621136576,-0.12890973480731624,continue
3,cem_like_topk_refinement,8,1,16,16.0,-1.3456009894019196,-3.004013399230614,-0.08410006183761998,continue
3,langevin_like_refinement,8,1,16,16.0,-1.022263150087882,-2.8394354616578816,-0.06389144688049263,continue
3,sample_only,16,0,16,16.0,-1.3324145792556554,-2.977386501429098,-0.08327591120347846,continue
3,cem_like_topk_refinement,16,1,32,32.0,-1.340591160813571,-3.0379346495934554,-0.041893473775424094,continue
3,langevin_like_refinement,16,1,32,32.0,-1.3225695557527588,-2.978918682535383,-0.04133029861727371,continue
3,sample_only,32,0,32,32.0,-1.3799504811202647,-3.0329871152646986,-0.04312345253500827,stop_early
3,cem_like_topk_refinement,32,1,64,64.0,-1.3257316555304306,-3.0624648170636504,-0.020714557117662978,stop_early
3,langevin_like_refinement,32,1,64,64.0,-1.3706004454018952,-3.031507549656993,-0.021415631959404612,stop_early
3,sample_only,64,0,64,64.0,-1.3747620764326716,-3.059644837324908,-0.021480657444260493,stop_early
3,cem_like_topk_refinement,64,1,128,128.0,-1.3090834024408282,-3.082274329976547,-0.01022721408156897,stop_early
3,langevin_like_refinement,64,1,128,128.0,-1.3581535213747136,-3.0551159494053914,-0.01061057438573995,stop_early
3,sample_only,128,0,128,128.0,-1.363055011991188,-3.0775565258932307,-0.010648867281181156,stop_early
3,cem_like_topk_refinement,128,1,256,256.0,-1.294594969772781,-3.0990090387831977,-0.005057011600674926,stop_early
3,langevin_like_refinement,128,1,256,256.0,-1.3442845677150768,-3.069835981704608,-0.005251111592637019,stop_early
3,sample_only,256,0,256,256.0,-1.3319715442822202,-3.09108445282279,-0.005203013844852423,stop_early
3,cem_like_topk_refinement,256,1,512,512.0,-1.2855204477566695,-3.1127667614191035,-0.002510782124524745,stop_early
3,langevin_like_refinement,256,1,512,512.0,-1.3472556078336333,-3.0811313579387445,-0.002631358609050065,stop_early
3,sample_only,512,0,512,512.0,-1.2701179179249302,-3.101711471116779,-0.0024806990584471294,stop_early
3,cem_like_topk_refinement,512,1,1024,1024.0,-1.2815849230051073,-3.1238532060154816,-0.001251547776372175,stop_early
3,langevin_like_refinement,512,1,1024,1024.0,-1.3655295441310797,-3.090697584862016,-0.0013335249454405076,stop_early
4,sample_only,1,0,1,1.0,0.6197999680948899,-1.7409875310110536,0.6197999680948899,continue
4,cem_like_topk_refinement,1,1,2,2.0,-1.1799336184531803,-2.7376754798760174,-0.5899668092265902,continue
4,langevin_like_refinement,1,1,2,2.0,0.6294590894091099,-1.7814139781001395,0.31472954470455494,continue
4,sample_only,2,0,2,2.0,0.2052160715813705,-2.1888237725540804,0.10260803579068525,continue
4,cem_like_topk_refinement,2,1,4,4.0,-1.2895526642867141,-2.876211407167224,-0.32238816607167853,continue
4,langevin_like_refinement,2,1,4,4.0,0.21045148352592366,-2.2194981201597974,0.052612870881480915,continue
4,sample_only,4,0,4,4.0,-0.46902903550318636,-2.5675323270079087,-0.11725725887579659,continue
4,cem_like_topk_refinement,4,1,8,8.0,-1.3400758439458063,-2.95778228131923,-0.16750948049322578,continue
4,langevin_like_refinement,4,1,8,8.0,-0.4647266411444463,-2.58722945195588,-0.058090830143055786,continue
4,sample_only,8,0,8,8.0,-1.082238466129996,-2.840862101766779,-0.1352798082662495,continue
4,cem_like_topk_refinement,8,1,16,16.0,-1.3470065723572533,-3.007143923051494,-0.08418791077232833,continue
4,langevin_like_refinement,8,1,16,16.0,-1.0739239238465852,-2.8519922338558756,-0.06712024524041157,continue
4,sample_only,16,0,16,16.0,-1.3506858075951738,-2.9792135160418938,-0.08441786297469836,continue
4,cem_like_topk_refinement,16,1,32,32.0,-1.3364439506934025,-3.03865494978202,-0.04176387345916883,continue
4,langevin_like_refinement,16,1,32,32.0,-1.3365929046947782,-2.9846314350245744,-0.04176852827171182,continue
4,sample_only,32,0,32,32.0,-1.3852417319641144,-3.0324918573001476,-0.043288804123878574,stop_early
4,cem_like_topk_refinement,32,1,64,64.0,-1.3291631022458361,-3.059787518923473,-0.02076817347259119,stop_early
4,langevin_like_refinement,32,1,64,64.0,-1.3717739585061786,-3.034536203598144,-0.02143396810165904,stop_early
4,sample_only,64,0,64,64.0,-1.3643970573105941,-3.059612175538787,-0.021318704020478033,stop_early
4,cem_like_topk_refinement,64,1,128,128.0,-1.3327354085244971,-3.07427026612243,-0.010411995379097634,stop_early
4,langevin_like_refinement,64,1,128,128.0,-1.3589983045046437,-3.0594529857281145,-0.010617174253942529,stop_early
4,sample_only,128,0,128,128.0,-1.322769231297966,-3.0780148579614286,-0.01033413461951536,stop_early
4,cem_like_topk_refinement,128,1,256,256.0,-1.3422979575408576,-3.08472632217136,-0.005243351396643975,stop_early
4,langevin_like_refinement,128,1,256,256.0,-1.3344196170673863,-3.07723740631624,-0.005212576629169478,stop_early
4,sample_only,256,0,256,256.0,-1.2530360369477644,-3.091405982667598,-0.004894672019327205,stop_early
4,cem_like_topk_refinement,256,1,512,512.0,-1.3507253096995169,-3.092620980241085,-0.002638135370506869,stop_early
4,langevin_like_refinement,256,1,512,512.0,-1.2997233108591022,-3.0920956329247025,-0.002538522091521684,stop_early
4,sample_only,512,0,512,512.0,-1.1760772277200213,-3.100987345927703,-0.0022970258353906666,stop_early
4,cem_like_topk_refinement,512,1,1024,1024.0,-1.3562081035144473,-3.0982193713799777,-0.0013244219760883275,stop_early
4,langevin_like_refinement,512,1,1024,1024.0,-1.2703952771767248,-3.1049153355121284,-0.0012406203878678954,stop_early
