model,N,num_rows,mean_repair_recovery_ratio,worst_case_recovery_ratio,num_repair_failures,num_utility_degrading_rows,recovery_ge_95_rate,tail_rank_improved_rate,support_distance_reduced_rate
calibrated,512,5,0.97164350314047,0.9602471251485917,1,0,1.0,0.8,1.0
calibrated_support_penalized,512,5,0.9683332732315092,0.9552737989154182,1,0,1.0,0.8,1.0
calibrated_support_penalized_conservative_gate,512,5,0.9719124670943302,0.9624453063383376,1,0,1.0,0.8,1.0
oracle,512,5,1.0,1.0,0,0,1.0,1.0,1.0
oracle_value_shaped_upper,512,5,0.999282935983125,0.9982746201646837,0,0,1.0,1.0,1.0
support_penalized,512,5,0.8858523474550521,0.8355720060824999,5,0,0.0,0.6,1.0
support_penalized_conservative_gate,512,5,0.8696341494242184,0.734570703652729,5,0,0.0,0.6,1.0
value_shaped,512,5,0.9040702282253819,0.8920578886905307,5,0,0.0,0.6,1.0
