root,suffix,files,bytes
docs,.md,7,37107
experiments,.py,12,162481
paper,.bib,1,4435
paper,.bst,1,26972
paper,.md,9,14106
paper,.pdf,1,1226535
paper,.sty,3,74688
paper,.tex,4,97739
results,.csv,32,4001956
results,.json,43,5636264
results,.md,1,7230
results,.pdf,6,81481
results,.png,10,909579
scripts,.ps1,1,2144
scripts,.py,4,42074
scripts,.sh,4,4108
src,.py,11,80135
tests,.py,7,17873
